Pos,No,Driver,Car,Time,Gap,Laps
1,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:11.599,,14
2,5,Sebastian VettelVET,Ferrari,1:11.648,+0.049s,22
3,7,Kimi RäikkönenRAI,Ferrari,1:11.650,+0.051s,21
4,44,Lewis HamiltonHAM,Mercedes,1:11.706,+0.107s,23
5,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:12.153,+0.554s,29
6,77,Valtteri BottasBOT,Mercedes,1:12.255,+0.656s,27
7,11,Sergio PerezPER,Force India Mercedes,1:12.903,+1.304s,16
8,27,Nico HulkenbergHUL,Renault,1:12.946,+1.347s,21
9,8,Romain GrosjeanGRO,Haas Ferrari,1:13.014,+1.415s,16
10,2,Stoffel VandoorneVAN,McLaren Renault,1:13.034,+1.435s,21
11,31,Esteban OconOCO,Force India Mercedes,1:13.064,+1.465s,18
12,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,1:13.076,+1.477s,24
13,14,Fernando AlonsoALO,McLaren Renault,1:13.225,+1.626s,19
14,55,Carlos SainzSAI,Renault,1:13.331,+1.732s,22
15,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,1:13.334,+1.735s,19
16,16,Charles LeclercLEC,Sauber Ferrari,1:13.452,+1.853s,19
17,20,Kevin MagnussenMAG,Haas Ferrari,1:13.488,+1.889s,21
18,35,Sergey SirotkinSIR,Williams Mercedes,1:13.818,+2.219s,18
19,9,Marcus EricssonERI,Sauber Ferrari,1:13.925,+2.326s,20
20,18,Lance StrollSTR,Williams Mercedes,1:13.968,+2.369s,17
