Pos,No,Driver,Car,Laps,Time/retired,Pts
1,3,Jochen RindtRIN,Lotus Ford,80,1:54:36.600,9
2,5,Jack BrabhamBRA,Brabham Ford,80,+23.100s,6
3,9,Henri PescaroloPES,Matra,80,+51.400s,4
4,11,Denny HulmeHUL,McLaren Ford,80,+88.300s,3
5,1,Graham HillHIL,Lotus Ford,79,+1 lap,2
6,17,Pedro RodriguezROD,BRM,78,+2 laps,1
7,23,Ronnie PetersonPET,March Ford,78,+2 laps,0
8,19,Jo SiffertSIF,March Ford,76,DNF,0
NC,28,Chris AmonAMO,March Ford,60,DNF,0
NC,24,Piers   CourageCOU,De Tomaso Ford,58,+22 laps,0
NC,21,Jackie StewartSTE,March Ford,57,DNF,0
NC,16,Jackie OliverOLI,BRM,42,DNF,0
NC,8,Jean-Pierre BeltoiseBEL,Matra,21,DNF,0
NC,12,Bruce McLarenMCL,McLaren Ford,19,DNF,0
NC,14,John SurteesSUR,McLaren Ford,14,DNF,0
NC,26,Jacky IckxICK,Ferrari,11,DNF,0
