Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Jackie StewartSTE,March Ford,90,2:10:58.200,9
2,11,Bruce McLarenMCL,McLaren Ford,89,+1 lap,6
3,18,Mario AndrettiAND,March Ford,89,+1 lap,4
4,6,Graham HillHIL,Lotus Ford,89,+1 lap,3
5,16,Johnny  Servoz-Gavin SER,March Ford,88,+2 laps,2
NC,8,John SurteesSUR,McLaren Ford,76,DNF,0
NC,7,Jack BrabhamBRA,Brabham Ford,61,DNF,0
NC,24,Rolf StommelenSTO,Brabham Ford,43,DNF,0
NC,22,Henri PescaroloPES,Matra,33,DNF,0
NC,4,Jean-Pierre BeltoiseBEL,Matra,31,DNF,0
NC,9,Chris AmonAMO,March Ford,10,DNF,0
NC,5,Denny HulmeHUL,McLaren Ford,10,DNF,0
NC,3,Jochen RindtRIN,Lotus Ford,9,DNF,0
NC,10,Pedro RodriguezROD,BRM,4,DNF,0
NC,2,Jacky IckxICK,Ferrari,0,DNF,0
NC,15,Jackie OliverOLI,BRM,0,DNF,0
