Pos,No,Driver,Car,Time
1,7,Graham HillHIL,Lotus Climax,1:36.200
2,3,Jack BrabhamBRA,Brabham Repco,1:36.300
3,9,Dan GurneyGUR,Eagle Climax,1:37.000
4,6,Jim ClarkCLA,Lotus Climax,1:37.500
5,8,Bruce McLarenMCL,Eagle Climax,1:37.600
6,4,Denny HulmeHUL,Brabham Repco,1:37.900
7,2,Chris AmonAMO,Ferrari,1:38.000
8,12,Jochen RindtRIN,Cooper Maserati,1:38.900
9,15,Chris   IrwinIRW,Lotus BRM,1:39.400
10,10,Jackie StewartSTE,BRM,1:39.600
11,18,Jo SiffertSIF,Cooper Maserati,1:40.100
12,11,Mike SpenceSPE,BRM,1:40.300
13,14,Pedro RodriguezROD,Cooper Maserati,1:40.500
14,17,Bob AndersonAND,Brabham Climax,1:44.900
15,16,Guy  Ligier LIG,Cooper Maserati,1:45.200
