Pos,No,Driver,Car,Time
1,20,Jose Froilan GonzalezGON,Ferrari,2:39.500
2,4,Juan Manuel FangioFAN,Mercedes-Benz,2:39.700
3,32,Stirling MossMOS,Maserati,2:41.400
4,26,Maurice  TrintignantTRI,Ferrari,2:41.700
5,8,Karl KlingKLI,Mercedes-Benz,2:41.900
6,22,Mike HawthornHAW,Ferrari,2:43.200
7,6,Hans  HerrmannHER,Mercedes-Benz,2:45.000
8,18,Ken  WhartonWHA,Maserati,2:46.200
9,28,Sergio MantovaniMAN,Maserati,2:56.900
10,12,Clemar BucciBUC,Gordini,3:04.100
11,24,Umberto  MaglioliMAG,Ferrari,3:08.200
12,30,Roberto MieresMIE,Maserati,3:09.300
13,34,Harry SchellSCH,Maserati,3:12.100
14,10,Jean BehraBEH,Gordini,3:16.400
15,14,Fred WackerWAC,Gordini,3:20.300
16,2,Jacques SwatersSWA,Ferrari,3:20.400
