Pos,No,Driver,Car,Time,Gap,Laps
1,5,Sebastian VettelVET,Ferrari,1:17.017,,17
2,7,Kimi RäikkönenRAI,Ferrari,1:17.492,+0.475s,16
3,77,Valtteri BottasBOT,Mercedes,1:17.914,+0.897s,15
4,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:18.194,+1.177s,25
5,44,Lewis HamiltonHAM,Mercedes,1:18.434,+1.417s,14
6,2,Stoffel VandoorneVAN,McLaren Honda,1:18.638,+1.621s,18
7,27,Nico HulkenbergHUL,Renault,1:18.699,+1.682s,20
8,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:18.714,+1.697s,7
9,14,Fernando AlonsoALO,McLaren Honda,1:18.884,+1.867s,14
10,30,Jolyon PalmerPAL,Renault,1:18.956,+1.939s,19
11,55,Carlos SainzSAI,Toro Rosso,1:19.300,+2.283s,22
12,31,Esteban OconOCO,Force India Mercedes,1:19.352,+2.335s,22
13,26,Daniil KvyatKVY,Toro Rosso,1:19.455,+2.438s,23
14,11,Sergio PerezPER,Force India Mercedes,1:19.609,+2.592s,22
15,8,Romain GrosjeanGRO,Haas Ferrari,1:19.622,+2.605s,21
16,20,Kevin MagnussenMAG,Haas Ferrari,1:19.895,+2.878s,19
17,19,Felipe MassaMAS,Williams Mercedes,1:20.255,+3.238s,12
18,18,Lance StrollSTR,Williams Mercedes,1:20.379,+3.362s,24
19,94,Pascal WehrleinWEH,Sauber Ferrari,1:20.446,+3.429s,24
20,9,Marcus EricssonERI,Sauber Ferrari,1:20.748,+3.731s,19
