Pos,No,Driver,Car,Time,Gap,Laps
1,16,Charles LeclercLEC,Ferrari,1:24.321,,19
2,4,Lando NorrisNOR,McLaren Mercedes,1:24.542,+0.221s,25
3,44,Lewis HamiltonHAM,Mercedes,1:24.806,+0.485s,27
4,63,George RussellRUS,Mercedes,1:25.165,+0.844s,27
5,10,Pierre GaslyGAS,Alpine Renault,1:25.333,+1.012s,24
6,27,Nico HulkenbergHUL,Haas Ferrari,1:25.373,+1.052s,23
7,43,Franco ColapintoCOL,Williams Mercedes,1:25.382,+1.061s,24
8,20,Kevin MagnussenMAG,Haas Ferrari,1:25.444,+1.123s,25
9,34,Felipe DrugovichDRU,Aston Martin Aramco Mercedes,1:25.471,+1.150s,22
10,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:25.483,+1.162s,26
11,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:25.504,+1.183s,23
12,30,Liam LawsonLAW,RB Honda RBPT,1:25.563,+1.242s,27
13,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:25.611,+1.290s,23
14,28,Ryo HirakawaHIR,McLaren Mercedes,1:25.874,+1.553s,19
15,37,Isack HadjarHAD,Red Bull Racing Honda RBPT,1:25.877,+1.556s,22
16,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:25.921,+1.600s,23
17,40,Ayumu IwasaIWA,RB Honda RBPT,1:26.121,+1.800s,24
18,39,Arthur LeclercLEL,Ferrari,1:26.179,+1.858s,22
19,61,Jack DoohanDOO,Alpine Renault,1:26.304,+1.983s,24
20,46,Luke BrowningBRO,Williams Mercedes,1:26.519,+2.198s,22
