Pos,No,Driver,Car,Time,Gap,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:35.001,,26
2,63,George RussellRUS,Mercedes,1:35.397,+0.396s,29
3,4,Lando NorrisNOR,McLaren Mercedes,1:35.954,+0.953s,27
4,16,Charles LeclercLEC,Ferrari,1:36.007,+1.006s,27
5,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:36.038,+1.037s,25
6,55,Carlos SainzSAI,Ferrari,1:36.218,+1.217s,26
7,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:36.262,+1.261s,25
8,81,Oscar PiastriPIA,McLaren Mercedes,1:36.451,+1.450s,26
9,10,Pierre GaslyGAS,Alpine Renault,1:36.478,+1.477s,24
10,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:36.536,+1.535s,25
11,20,Kevin MagnussenMAG,Haas Ferrari,1:36.811,+1.810s,24
12,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:36.817,+1.816s,25
13,23,Alexander AlbonALB,Williams Mercedes,1:36.948,+1.947s,26
14,31,Esteban OconOCO,Alpine Renault,1:37.152,+2.151s,25
15,27,Nico HulkenbergHUL,Haas Ferrari,1:37.200,+2.199s,24
16,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:37.765,+2.764s,25
17,43,Franco ColapintoCOL,Williams Mercedes,1:38.025,+3.024s,28
18,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:38.350,+3.349s,23
19,22,Yuki TsunodaTSU,RB Honda RBPT,1:38.574,+3.573s,23
20,30,Liam LawsonLAW,RB Honda RBPT,1:38.730,+3.729s,28
