Pos,No,Driver,Car,Time,Gap,Laps
1,4,Lando NorrisNOR,McLaren Mercedes,1:12.322,,17
2,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:12.523,+0.201s,13
3,44,Lewis HamiltonHAM,Mercedes,1:13.006,+0.684s,13
4,55,Carlos SainzSAI,Ferrari,1:13.074,+0.752s,15
5,63,George RussellRUS,Mercedes,1:13.142,+0.820s,17
6,23,Alexander AlbonALB,Williams Mercedes,1:13.159,+0.837s,14
7,81,Oscar PiastriPIA,McLaren Mercedes,1:13.230,+0.908s,14
8,27,Nico HulkenbergHUL,Haas Ferrari,1:13.563,+1.241s,18
9,20,Kevin MagnussenMAG,Haas Ferrari,1:13.597,+1.275s,15
10,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:13.965,+1.643s,15
11,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:14.151,+1.829s,14
12,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:14.279,+1.957s,12
13,16,Charles LeclercLEC,Ferrari,1:14.306,+1.984s,15
14,22,Yuki TsunodaTSU,RB Honda RBPT,1:14.418,+2.096s,13
15,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:14.467,+2.145s,15
16,97,Robert ShwartzmanSHW,Kick Sauber Ferrari,1:14.658,+2.336s,15
17,2,Logan SargeantSAR,Williams Mercedes,1:15.605,+3.283s,12
18,31,Esteban OconOCO,Alpine Renault,1:15.796,+3.474s,15
19,3,Daniel RicciardoRIC,RB Honda RBPT,1:16.231,+3.909s,15
20,10,Pierre GaslyGAS,Alpine Renault,1:22.036,+9.714s,8
