Pos,No,Driver,Car,Time,Gap,Laps
1,16,Charles LeclercLEC,Ferrari,1:21.953,,30
2,4,Lando NorrisNOR,McLaren Mercedes,1:22.378,+0.425s,24
3,81,Oscar PiastriPIA,McLaren Mercedes,1:22.425,+0.472s,26
4,55,Carlos SainzSAI,Ferrari,1:22.535,+0.582s,30
5,22,Yuki TsunodaTSU,RB Honda RBPT,1:23.045,+1.092s,27
6,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:23.064,+1.111s,29
7,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:23.099,+1.146s,24
8,63,George RussellRUS,Mercedes,1:23.160,+1.207s,27
9,23,Alexander AlbonALB,Williams Mercedes,1:23.161,+1.208s,29
10,44,Lewis HamiltonHAM,Mercedes,1:23.188,+1.235s,26
11,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:23.213,+1.260s,26
12,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:23.227,+1.274s,24
13,27,Nico HulkenbergHUL,Haas Ferrari,1:23.245,+1.292s,27
14,30,Liam LawsonLAW,RB Honda RBPT,1:23.562,+1.609s,29
15,10,Pierre GaslyGAS,Alpine Renault,1:23.620,+1.667s,28
16,20,Kevin MagnussenMAG,Haas Ferrari,1:23.715,+1.762s,27
17,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:23.880,+1.927s,27
18,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:24.039,+2.086s,26
19,43,Franco ColapintoCOL,Williams Mercedes,1:24.200,+2.247s,29
20,31,Esteban OconOCO,Alpine Renault,1:24.280,+2.327s,21
