Pos,No,Driver,Car,Time,Gap,Laps
1,63,George RussellRUS,Mercedes,1:17.998,,24
2,55,Carlos SainzSAI,Ferrari,1:18.315,+0.317s,25
3,22,Yuki TsunodaTSU,RB Honda RBPT,1:18.699,+0.701s,24
4,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:18.839,+0.841s,14
5,27,Nico HulkenbergHUL,Haas Ferrari,1:18.904,+0.906s,18
6,81,Oscar PiastriPIA,McLaren Mercedes,1:18.958,+0.960s,24
7,31,Esteban OconOCO,Alpine Renault,1:18.996,+0.998s,22
8,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:19.048,+1.050s,24
9,30,Liam LawsonLAW,RB Honda RBPT,1:19.093,+1.095s,26
10,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:19.094,+1.096s,23
11,43,Franco ColapintoCOL,Williams Mercedes,1:19.109,+1.111s,21
12,12,Andrea Kimi AntonelliANT,Mercedes,1:19.200,+1.202s,19
13,29,Patricio O'WardOWA,McLaren Mercedes,1:19.295,+1.297s,21
14,20,Kevin MagnussenMAG,Haas Ferrari,1:19.335,+1.337s,23
15,10,Pierre GaslyGAS,Alpine Renault,1:19.340,+1.342s,20
16,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:19.600,+1.602s,18
17,23,Alexander AlbonALB,Williams Mercedes,1:19.812,+1.814s,7
18,34,Felipe DrugovichDRU,Aston Martin Aramco Mercedes,1:19.819,+1.821s,17
19,97,Robert ShwartzmanSHW,Kick Sauber Ferrari,1:19.988,+1.990s,18
20,38,Oliver BearmanBEA,Ferrari,1:21.256,+3.258s,7
