Pos,No,Driver,Car,Time,Gap
1,1,Ayrton SennaSEN,McLaren Honda,1:17.821,
2,27,Alain ProstPRO,Ferrari,1:17.921,+0.100s
3,5,Nigel MansellMAN,Williams Renault,1:18.335,+0.514s
4,2,Gerhard BergerBER,McLaren Honda,1:18.733,+0.912s
5,16,Ivan CapelliCAP,Leyton House Ilmor,1:19.626,+1.805s
6,28,Jean AlesiALE,Ferrari,1:19.657,+1.836s
7,23,Pierluigi MartiniMAR,Minardi Ferrari,1:19.946,+2.125s
8,6,Riccardo PatresePAT,Williams Renault,1:20.034,+2.213s
9,4,Stefano ModenaMOD,Tyrrell Honda,1:20.158,+2.337s
10,25,Thierry BoutsenBOU,Ligier Lamborghini,1:20.345,+2.524s
11,33,Andrea de CesarisDEC,Jordan Ford,1:20.493,+2.672s
12,19,Roberto MorenoMOR,Benetton Ford,1:20.533,+2.712s
13,8,Mark BlundellBLU,Brabham Yamaha,1:20.602,+2.781s
14,21,Emanuele PirroPIR,Dallara Judd,1:20.694,+2.873s
15,7,Martin BrundleBRU,Brabham Yamaha,1:20.749,+2.928s
16,32,Bertrand GachotGAC,Jordan Ford,1:20.804,+2.983s
17,20,Nelson PiquetPIQ,Benetton Ford,1:20.915,+3.094s
18,26,Erik ComasCOM,Ligier Lamborghini,1:21.140,+3.319s
19,3,Satoru NakajimaNAK,Tyrrell Honda,1:21.239,+3.418s
20,22,Jyrki JarvilehtoJAR,Dallara Judd,1:21.271,+3.450s
21,15,Mauricio GugelminGUG,Leyton House Ilmor,1:21.548,+3.727s
22,34,Nicola LariniLAR,Lambo Lamborghini,1:22.099,+4.278s
23,11,Mika HakkinenHAK,Lotus Judd,1:22.232,+4.411s
24,9,Michele AlboretoALB,Footwork Porsche,1:22.255,+4.434s
25,35,Eric van de PoeleVAN,Lambo Lamborghini,1:22.465,+4.644s
26,14,Olivier GrouillardGRO,Fondmetal Ford,1:22.528,+4.707s
27,24,Gianni MorbidelliMOR,Minardi Ferrari,1:22.745,+4.924s
28,12,Michael BartelsBAR,Lotus Judd,1:22.903,+5.082s
29,29,Eric BernardBER,Lola Ford,1:23.047,+5.226s
30,30,Aguri SuzukiSUZ,Lola Ford,1:23.602,+5.781s
