Pos,No,Driver,Car,Time,Gap
1,2,Gerhard BergerBER,McLaren Honda,1:44.797,
2,27,Alain ProstPRO,Ferrari,1:46.334,+1.537s
3,11,Mika HakkinenHAK,Lotus Judd,1:48.878,+4.081s
4,7,Martin BrundleBRU,Brabham Yamaha,1:49.174,+4.377s
5,20,Nelson PiquetPIQ,Benetton Ford,1:49.385,+4.588s
6,1,Ayrton SennaSEN,McLaren Honda,1:50.046,+5.249s
7,5,Nigel MansellMAN,Williams Renault,1:50.326,+5.529s
8,22,Jyrki JarvilehtoJAR,Dallara Judd,1:50.332,+5.535s
9,3,Satoru NakajimaNAK,Tyrrell Honda,1:50.502,+5.705s
10,25,Thierry BoutsenBOU,Ligier Lamborghini,1:50.617,+5.820s
11,28,Jean AlesiALE,Ferrari,1:50.871,+6.074s
12,6,Riccardo PatresePAT,Williams Renault,1:51.449,+6.652s
13,23,Pierluigi MartiniMAR,Minardi Ferrari,1:51.674,+6.877s
14,12,Julian BaileyBAI,Lotus Judd,1:52.792,+7.995s
15,33,Andrea de CesarisDEC,Jordan Ford,1:53.645,+8.848s
16,15,Mauricio GugelminGUG,Leyton House Ilmor,1:53.666,+8.869s
17,19,Roberto MorenoMOR,Benetton Ford,1:55.777,+10.980s
18,32,Bertrand GachotGAC,Jordan Ford,1:56.432,+11.635s
19,29,Eric BernardBER,Lola Ford,1:57.027,+12.230s
20,35,Eric van de PoeleVAN,Lambo Lamborghini,1:57.157,+12.360s
21,10,Alex CaffiCAF,Footwork Porsche,1:57.307,+12.510s
22,24,Gianni MorbidelliMOR,Minardi Ferrari,1:58.586,+13.789s
23,4,Stefano ModenaMOD,Tyrrell Honda,2:00.837,+16.040s
24,16,Ivan CapelliCAP,Leyton House Ilmor,2:01.079,+16.282s
25,8,Mark BlundellBLU,Brabham Yamaha,2:01.723,+16.926s
26,30,Aguri SuzukiSUZ,Lola Ford,2:03.892,+19.095s
27,17,Gabriele TarquiniTAR,AGS Ford,2:18.074,+33.277s
28,26,Erik ComasCOM,Ligier Lamborghini,1:36.610,+51.813s
