Pos,No,Driver,Car,Time,Gap
1,6,Riccardo PatresePAT,Williams Renault,1:21.554,
2,2,Gerhard BergerBER,McLaren Honda,1:22.047,+0.493s
3,1,Ayrton SennaSEN,McLaren Honda,1:22.178,+0.624s
4,5,Nigel MansellMAN,Williams Renault,1:22.341,+0.787s
5,19,Michael SchumacherMSC,Benetton Ford,1:22.579,+1.025s
6,28,Jean AlesiALE,Ferrari,1:22.718,+1.164s
7,20,Nelson PiquetPIQ,Benetton Ford,1:23.036,+1.482s
8,32,Roberto MorenoMOR,Jordan Ford,1:23.386,+1.832s
9,27,Alain ProstPRO,Ferrari,1:23.460,+1.906s
10,8,Mark BlundellBLU,Brabham Yamaha,1:24.134,+2.580s
11,33,Andrea de CesarisDEC,Jordan Ford,1:24.199,+2.645s
12,7,Martin BrundleBRU,Brabham Yamaha,1:24.400,+2.846s
13,4,Stefano ModenaMOD,Tyrrell Honda,1:24.493,+2.939s
14,3,Satoru NakajimaNAK,Tyrrell Honda,1:25.065,+3.511s
15,23,Pierluigi MartiniMAR,Minardi Ferrari,1:25.598,+4.044s
16,29,Eric BernardBER,Lola Ford,1:25.723,+4.169s
17,25,Thierry BoutsenBOU,Ligier Lamborghini,1:25.726,+4.172s
18,26,Erik ComasCOM,Ligier Lamborghini,1:25.807,+4.253s
19,16,Ivan CapelliCAP,Leyton House Ilmor,1:25.847,+4.293s
20,34,Nicola LariniLAR,Lambo Lamborghini,1:26.055,+4.501s
21,14,Olivier GrouillardGRO,Fondmetal Ford,1:26.103,+4.549s
22,15,Mauricio GugelminGUG,Leyton House Ilmor,1:26.343,+4.789s
23,22,Jyrki JarvilehtoJAR,Dallara Judd,1:26.571,+5.017s
24,11,Mika HakkinenHAK,Lotus Judd,1:26.652,+5.098s
25,9,Michele AlboretoALB,Footwork Porsche,1:26.677,+5.123s
26,30,Aguri SuzukiSUZ,Lola Ford,1:27.108,+5.554s
27,21,Emanuele PirroPIR,Dallara Judd,1:27.447,+5.893s
28,24,Gianni MorbidelliMOR,Minardi Ferrari,1:27.721,+6.167s
29,35,Eric van de PoeleVAN,Lambo Lamborghini,1:27.954,+6.400s
30,12,Michael BartelsBAR,Lotus Judd,1:28.617,+7.063s
