Pos,No,Driver,Car,Time,Gap
1,6,Riccardo PatresePAT,Williams Renault,1:19.705,
2,5,Nigel MansellMAN,Williams Renault,1:19.835,+0.130s
3,1,Ayrton SennaSEN,McLaren Honda,1:19.962,+0.257s
4,28,Jean AlesiALE,Ferrari,1:20.630,+0.925s
5,2,Gerhard BergerBER,McLaren Honda,1:20.783,+1.078s
6,20,Nelson PiquetPIQ,Benetton Ford,1:20.891,+1.186s
7,27,Alain ProstPRO,Ferrari,1:21.142,+1.437s
8,19,Roberto MorenoMOR,Benetton Ford,1:21.434,+1.729s
9,32,Bertrand GachotGAC,Jordan Ford,1:21.613,+1.908s
10,4,Stefano ModenaMOD,Tyrrell Honda,1:21.688,+1.983s
11,33,Andrea de CesarisDEC,Jordan Ford,1:22.284,+2.579s
12,29,Eric BernardBER,Lola Ford,1:22.332,+2.627s
13,16,Ivan CapelliCAP,Leyton House Ilmor,1:22.418,+2.713s
14,21,Emanuele PirroPIR,Dallara Judd,1:22.472,+2.767s
15,23,Pierluigi MartiniMAR,Minardi Ferrari,1:22.542,+2.837s
16,30,Aguri SuzukiSUZ,Lola Ford,1:22.843,+3.138s
17,12,Johnny HerbertHER,Lotus Judd,1:22.949,+3.244s
18,25,Thierry BoutsenBOU,Ligier Lamborghini,1:23.086,+3.381s
19,15,Mauricio GugelminGUG,Leyton House Ilmor,1:23.099,+3.394s
20,3,Satoru NakajimaNAK,Tyrrell Honda,1:23.359,+3.654s
21,7,Martin BrundleBRU,Brabham Yamaha,1:23.500,+3.795s
22,17,Gabriele TarquiniTAR,AGS Ford,1:23.520,+3.815s
23,22,Jyrki JarvilehtoJAR,Dallara Judd,1:23.711,+4.006s
24,18,Fabrizio BarbazzaBAR,AGS Ford,1:23.895,+4.190s
25,11,Mika HakkinenHAK,Lotus Judd,1:24.080,+4.375s
26,10,Stefan JohanssonJOH,Footwork Porsche,1:24.133,+4.428s
27,24,Gianni MorbidelliMOR,Minardi Ferrari,1:24.266,+4.561s
28,9,Michele AlboretoALB,Footwork Porsche,1:24.315,+4.610s
29,26,Erik ComasCOM,Ligier Lamborghini,1:24.326,+4.621s
30,8,Mark BlundellBLU,Brabham Yamaha,1:25.813,+6.108s
