Pos,No,Driver,Car,Time,Gap
1,5,Nigel MansellMAN,Williams Renault,1:19.407,
2,1,Ayrton SennaSEN,McLaren Honda,1:20.106,+0.699s
3,2,Gerhard BergerBER,McLaren Honda,1:20.431,+1.024s
4,19,Michael SchumacherMSC,Benetton Ford,1:20.683,+1.276s
5,22,Jyrki JarvilehtoJAR,Dallara Judd,1:20.788,+1.381s
6,28,Jean AlesiALE,Ferrari,1:20.850,+1.443s
7,7,Martin BrundleBRU,Brabham Yamaha,1:21.000,+1.593s
8,20,Nelson PiquetPIQ,Benetton Ford,1:21.174,+1.767s
9,27,Alain ProstPRO,Ferrari,1:21.460,+2.053s
10,4,Stefano ModenaMOD,Tyrrell Honda,1:21.544,+2.137s
11,8,Mark BlundellBLU,Brabham Yamaha,1:21.809,+2.402s
12,15,Mauricio GugelminGUG,Leyton House Ilmor,1:21.809,+2.402s
13,3,Satoru NakajimaNAK,Tyrrell Honda,1:21.989,+2.582s
14,23,Pierluigi MartiniMAR,Minardi Ferrari,1:22.004,+2.597s
15,21,Emanuele PirroPIR,Dallara Judd,1:22.061,+2.654s
16,9,Michele AlboretoALB,Footwork Porsche,1:22.559,+3.152s
17,32,Alessandro ZanardiZAN,Jordan Ford,1:22.583,+3.176s
18,29,Eric BernardBER,Lola Ford,1:22.930,+3.523s
19,33,Andrea de CesarisDEC,Jordan Ford,1:23.211,+3.804s
20,25,Thierry BoutsenBOU,Ligier Lamborghini,1:23.662,+4.255s
21,30,Aguri SuzukiSUZ,Lola Ford,1:23.781,+4.374s
22,26,Erik ComasCOM,Ligier Lamborghini,1:23.930,+4.523s
23,14,Gabriele TarquiniTAR,Fondmetal Ford,1:23.952,+4.545s
24,24,Gianni MorbidelliMOR,Minardi Ferrari,1:24.777,+5.370s
25,6,Riccardo PatresePAT,Williams Renault,1:24.831,+5.424s
26,11,Mika HakkinenHAK,Lotus Judd,1:24.834,+5.427s
27,34,Nicola LariniLAR,Lambo Lamborghini,1:24.884,+5.477s
28,16,Ivan CapelliCAP,Leyton House Ilmor,1:25.915,+6.508s
29,12,Michael BartelsBAR,Lotus Judd,1:26.014,+6.607s
30,35,Eric van de PoeleVAN,Lambo Lamborghini,1:26.837,+7.430s
