Pos,No,Driver,Car,Time,Gap
1,6,Riccardo PatresePAT,Williams Renault,1:14.669,
2,27,Alain ProstPRO,Ferrari,1:15.343,+0.674s
3,1,Ayrton SennaSEN,McLaren Honda,1:15.434,+0.765s
4,28,Jean AlesiALE,Ferrari,1:15.892,+1.223s
5,5,Nigel MansellMAN,Williams Renault,1:15.936,+1.267s
6,2,Gerhard BergerBER,McLaren Honda,1:16.851,+2.182s
7,20,Nelson PiquetPIQ,Benetton Ford,1:16.912,+2.243s
8,4,Stefano ModenaMOD,Tyrrell Honda,1:17.115,+2.446s
9,23,Pierluigi MartiniMAR,Minardi Ferrari,1:17.166,+2.497s
10,16,Ivan CapelliCAP,Leyton House Ilmor,1:17.167,+2.498s
11,19,Roberto MorenoMOR,Benetton Ford,1:17.217,+2.548s
12,15,Mauricio GugelminGUG,Leyton House Ilmor,1:17.623,+2.954s
13,14,Olivier GrouillardGRO,Fondmetal Ford,1:17.656,+2.987s
14,29,Eric BernardBER,Lola Ford,1:17.740,+3.071s
15,12,Johnny HerbertHER,Lotus Judd,1:17.817,+3.148s
16,8,Mark BlundellBLU,Brabham Yamaha,1:17.826,+3.157s
17,32,Bertrand GachotGAC,Jordan Ford,1:17.848,+3.179s
18,26,Erik ComasCOM,Ligier Lamborghini,1:17.912,+3.243s
19,7,Martin BrundleBRU,Brabham Yamaha,1:18.003,+3.334s
20,33,Andrea de CesarisDEC,Jordan Ford,1:18.032,+3.363s
21,30,Aguri SuzukiSUZ,Lola Ford,1:18.215,+3.546s
22,3,Satoru NakajimaNAK,Tyrrell Honda,1:18.335,+3.666s
23,25,Thierry BoutsenBOU,Ligier Lamborghini,1:18.672,+4.003s
24,11,Mika HakkinenHAK,Lotus Judd,1:18.684,+4.015s
25,9,Michele AlboretoALB,Footwork Porsche,1:18.719,+4.050s
26,22,Jyrki JarvilehtoJAR,Dallara Judd,1:18.837,+4.168s
27,17,Gabriele TarquiniTAR,AGS Ford,1:20.503,+5.834s
28,24,Gianni MorbidelliMOR,Minardi Ferrari,1:20.597,+5.928s
29,18,Fabrizio BarbazzaBAR,AGS Ford,1:20.928,+6.259s
30,10,Stefan JohanssonJOH,Footwork Porsche,1:21.308,+6.639s
