Pos,No,Driver,Car,Time,Gap
1,5,Nigel MansellMAN,Williams Renault,1:17.094,
2,6,Riccardo PatresePAT,Williams Renault,1:17.247,+0.153s
3,1,Ayrton SennaSEN,McLaren Honda,1:17.483,+0.389s
4,27,Alain ProstPRO,Ferrari,1:17.982,+0.888s
5,28,Jean AlesiALE,Ferrari,1:18.141,+1.047s
6,2,Gerhard BergerBER,McLaren Honda,1:18.278,+1.184s
7,19,Roberto MorenoMOR,Benetton Ford,1:18.673,+1.579s
8,32,Bertrand GachotGAC,Jordan Ford,1:18.739,+1.645s
9,33,Andrea de CesarisDEC,Jordan Ford,1:19.107,+2.013s
10,4,Stefano ModenaMOD,Tyrrell Honda,1:19.297,+2.203s
11,15,Mauricio GugelminGUG,Leyton House Ilmor,1:19.308,+2.214s
12,21,Emanuele PirroPIR,Dallara Judd,1:19.322,+2.228s
13,20,Nelson PiquetPIQ,Benetton Ford,1:19.429,+2.335s
14,29,Eric BernardBER,Lola Ford,1:19.782,+2.688s
15,3,Satoru NakajimaNAK,Tyrrell Honda,1:19.850,+2.756s
16,30,Aguri SuzukiSUZ,Lola Ford,1:20.016,+2.922s
17,24,Gianni MorbidelliMOR,Minardi Ferrari,1:20.326,+3.232s
18,16,Ivan CapelliCAP,Leyton House Ilmor,1:20.865,+3.771s
19,25,Thierry BoutsenBOU,Ligier Lamborghini,1:20.945,+3.851s
20,8,Mark BlundellBLU,Brabham Yamaha,1:21.212,+4.118s
21,17,Gabriele TarquiniTAR,AGS Ford,1:21.256,+4.162s
22,7,Martin BrundleBRU,Brabham Yamaha,1:21.395,+4.301s
23,26,Erik ComasCOM,Ligier Lamborghini,1:21.611,+4.517s
24,22,Jyrki JarvilehtoJAR,Dallara Judd,1:21.787,+4.693s
25,11,Mika HakkinenHAK,Lotus Judd,1:21.993,+4.899s
26,18,Stefan JohanssonJOH,AGS Ford,1:22.029,+4.935s
27,9,Michele AlboretoALB,Footwork Porsche,1:22.108,+5.014s
28,10,Alex CaffiCAF,Footwork Porsche,1:22.510,+5.416s
29,12,Julian BaileyBAI,Lotus Judd,1:22.820,+5.726s
30,23,Pierluigi MartiniMAR,Minardi Ferrari,1:23.968,+6.874s
