Pos,No,Driver,Car,Time,Gap
1,1,Ayrton SennaSEN,McLaren Honda,1:21.856,
2,6,Riccardo PatresePAT,Williams Renault,1:21.965,+0.109s
3,2,Gerhard BergerBER,McLaren Honda,1:22.176,+0.320s
4,4,Stefano ModenaMOD,Tyrrell Honda,1:22.719,+0.863s
5,19,Roberto MorenoMOR,Benetton Ford,1:22.790,+0.934s
6,5,Nigel MansellMAN,Williams Renault,1:23.197,+1.341s
7,20,Nelson PiquetPIQ,Benetton Ford,1:23.230,+1.374s
8,27,Alain ProstPRO,Ferrari,1:23.256,+1.400s
9,21,Emanuele PirroPIR,Dallara Judd,1:23.259,+1.403s
10,28,Jean AlesiALE,Ferrari,1:23.284,+1.428s
11,22,Jyrki JarvilehtoJAR,Dallara Judd,1:23.390,+1.534s
12,3,Satoru NakajimaNAK,Tyrrell Honda,1:23.517,+1.661s
13,23,Pierluigi MartiniMAR,Minardi Ferrari,1:23.846,+1.990s
14,17,Gabriele TarquiniTAR,AGS Ford,1:24.129,+2.273s
15,8,Mark BlundellBLU,Brabham Yamaha,1:24.435,+2.579s
16,15,Mauricio GugelminGUG,Leyton House Ilmor,1:24.448,+2.592s
17,29,Eric BernardBER,Lola Ford,1:24.647,+2.791s
18,33,Andrea de CesarisDEC,Jordan Ford,1:24.916,+3.060s
19,26,Erik ComasCOM,Ligier Lamborghini,1:25.334,+3.478s
20,30,Aguri SuzukiSUZ,Lola Ford,1:25.340,+3.484s
21,9,Michele AlboretoALB,Footwork Porsche,1:25.451,+3.595s
22,25,Thierry BoutsenBOU,Ligier Lamborghini,1:25.644,+3.788s
23,32,Bertrand GachotGAC,Jordan Ford,1:25.705,+3.849s
24,16,Ivan CapelliCAP,Leyton House Ilmor,1:26.536,+4.680s
25,12,Julian BaileyBAI,Lotus Judd,1:26.576,+4.720s
26,24,Gianni MorbidelliMOR,Minardi Ferrari,1:26.695,+4.839s
27,11,Mika HakkinenHAK,Lotus Judd,1:27.333,+5.477s
28,18,Fabrizio BarbazzaBAR,AGS Ford,1:28.045,+6.189s
29,10,Alex CaffiCAF,Footwork Porsche,1:28.403,+6.547s
