Pos,No,Driver,Car,Time,Gap
1,6,Riccardo PatresePAT,Williams Renault,1:24.066,
2,2,Gerhard BergerBER,McLaren Honda,1:24.158,+0.092s
3,1,Ayrton SennaSEN,McLaren Honda,1:24.214,+0.148s
4,27,Alain ProstPRO,Ferrari,1:24.281,+0.215s
5,4,Stefano ModenaMOD,Tyrrell Honda,1:24.917,+0.851s
6,32,Bertrand GachotGAC,Jordan Ford,1:24.974,+0.908s
7,5,Nigel MansellMAN,Williams Renault,1:25.180,+1.114s
8,19,Roberto MorenoMOR,Benetton Ford,1:25.349,+1.283s
9,28,Jean AlesiALE,Ferrari,1:25.497,+1.431s
10,7,Martin BrundleBRU,Brabham Yamaha,1:25.559,+1.493s
11,16,Ivan CapelliCAP,Leyton House Ilmor,1:25.714,+1.648s
12,29,Eric BernardBER,Lola Ford,1:25.750,+1.684s
13,20,Nelson PiquetPIQ,Benetton Ford,1:25.796,+1.730s
14,22,Jyrki JarvilehtoJAR,Dallara Judd,1:25.859,+1.793s
15,34,Nicola LariniLAR,Lambo Lamborghini,1:26.061,+1.995s
16,3,Satoru NakajimaNAK,Tyrrell Honda,1:26.513,+2.447s
17,17,Gabriele TarquiniTAR,AGS Ford,1:27.250,+3.184s
18,11,Mika HakkinenHAK,Lotus Judd,1:27.320,+3.254s
19,8,Mark BlundellBLU,Brabham Yamaha,1:27.553,+3.487s
20,21,Emanuele PirroPIR,Dallara Judd,1:27.615,+3.549s
21,10,Alex CaffiCAF,Footwork Porsche,1:27.633,+3.567s
22,26,Erik ComasCOM,Ligier Lamborghini,1:27.659,+3.593s
23,24,Gianni MorbidelliMOR,Minardi Ferrari,1:27.950,+3.884s
24,15,Mauricio GugelminGUG,Leyton House Ilmor,1:27.969,+3.903s
25,23,Pierluigi MartiniMAR,Minardi Ferrari,1:27.989,+3.923s
26,9,Michele AlboretoALB,Footwork Porsche,1:28.616,+4.550s
27,25,Thierry BoutsenBOU,Ligier Lamborghini,1:28.997,+4.931s
28,18,Stefan JohanssonJOH,AGS Ford,1:29.938,+5.872s
29,12,Julian BaileyBAI,Lotus Judd,1:30.304,+6.238s
30,30,Aguri SuzukiSUZ,Lola Ford,1:32.302,+8.236s
