Pos,No,Driver,Car,Time,Gap
1,5,Nigel MansellMAN,Williams Renault,1:22.327,
2,6,Riccardo PatresePAT,Williams Renault,1:23.514,+1.187s
3,1,Ayrton SennaSEN,McLaren Honda,1:23.560,+1.233s
4,28,Jean AlesiALE,Ferrari,1:23.585,+1.258s
5,27,Alain ProstPRO,Ferrari,1:23.804,+1.477s
6,2,Gerhard BergerBER,McLaren Honda,1:24.207,+1.880s
7,22,Jyrki JarvilehtoJAR,Dallara Judd,1:24.532,+2.205s
8,19,Roberto MorenoMOR,Benetton Ford,1:24.575,+2.248s
9,20,Nelson PiquetPIQ,Benetton Ford,1:24.590,+2.263s
10,32,Bertrand GachotGAC,Jordan Ford,1:24.734,+2.407s
11,33,Andrea de CesarisDEC,Jordan Ford,1:25.078,+2.751s
12,3,Satoru NakajimaNAK,Tyrrell Honda,1:25.184,+2.857s
13,16,Ivan CapelliCAP,Leyton House Ilmor,1:25.520,+3.193s
14,15,Mauricio GugelminGUG,Leyton House Ilmor,1:25.652,+3.325s
15,7,Martin BrundleBRU,Brabham Yamaha,1:25.749,+3.422s
16,24,Gianni MorbidelliMOR,Minardi Ferrari,1:26.298,+3.971s
17,8,Mark BlundellBLU,Brabham Yamaha,1:26.316,+3.989s
18,29,Eric BernardBER,Lola Ford,1:26.369,+4.042s
19,12,Johnny HerbertHER,Lotus Judd,1:26.475,+4.148s
20,30,Aguri SuzukiSUZ,Lola Ford,1:26.480,+4.153s
21,4,Stefano ModenaMOD,Tyrrell Honda,1:26.658,+4.331s
22,23,Pierluigi MartiniMAR,Minardi Ferrari,1:27.258,+4.931s
23,21,Emanuele PirroPIR,Dallara Judd,1:27.380,+5.053s
24,25,Thierry BoutsenBOU,Ligier Lamborghini,1:27.645,+5.318s
25,26,Erik ComasCOM,Ligier Lamborghini,1:27.823,+5.496s
26,17,Gabriele TarquiniTAR,AGS Ford,1:28.033,+5.706s
27,9,Michele AlboretoALB,Footwork Porsche,1:28.088,+5.761s
28,18,Fabrizio BarbazzaBAR,AGS Ford,1:29.947,+7.620s
29,10,Stefan JohanssonJOH,Footwork Porsche,1:30.144,+7.817s
30,11,Mika HakkinenHAK,Lotus Judd,1:31.366,+9.039s
