Pos,No,Driver,Car,Time,Gap
1,2,Gerhard BergerBER,McLaren Honda,1:14.314,
2,6,Riccardo PatresePAT,Williams Renault,1:14.790,+0.476s
3,5,Nigel MansellMAN,Williams Renault,1:14.870,+0.556s
4,20,Nelson PiquetPIQ,Benetton Ford,1:15.355,+1.041s
5,19,Michael SchumacherMSC,Benetton Ford,1:15.442,+1.128s
6,32,Alessandro ZanardiZAN,Jordan Ford,1:15.675,+1.361s
7,28,Jean AlesiALE,Ferrari,1:15.822,+1.508s
8,27,Gianni MorbidelliMOR,Ferrari,1:15.907,+1.593s
9,23,Pierluigi MartiniMAR,Minardi Ferrari,1:15.929,+1.615s
10,1,Ayrton SennaSEN,McLaren Honda,1:16.562,+2.248s
11,4,Stefano ModenaMOD,Tyrrell Honda,1:16.780,+2.466s
12,22,Jyrki JarvilehtoJAR,Dallara Judd,1:16.945,+2.631s
13,15,Mauricio GugelminGUG,Leyton House Ilmor,1:17.009,+2.695s
14,8,Mark BlundellBLU,Brabham Yamaha,1:17.067,+2.753s
15,33,Andrea de CesarisDEC,Jordan Ford,1:17.155,+2.841s
16,3,Satoru NakajimaNAK,Tyrrell Honda,1:17.647,+3.333s
17,9,Michele AlboretoALB,Footwork Porsche,1:17.657,+3.343s
18,10,Alex CaffiCAF,Footwork Porsche,1:17.681,+3.367s
19,34,Nicola LariniLAR,Lambo Lamborghini,1:17.815,+3.501s
20,12,Johnny HerbertHER,Lotus Judd,1:18.190,+3.876s
21,24,Roberto MorenoMOR,Minardi Ferrari,1:18.284,+3.970s
22,7,Martin BrundleBRU,Brabham Yamaha,1:18.536,+4.222s
23,16,Karl WendlingerWEN,Leyton House Ilmor,1:18.551,+4.237s
24,35,Eric van de PoeleVAN,Lambo Lamborghini,1:18.566,+4.252s
25,26,Erik ComasCOM,Ligier Lamborghini,1:18.646,+4.332s
26,11,Mika HakkinenHAK,Lotus Judd,1:18.719,+4.405s
27,21,Emanuele PirroPIR,Dallara Judd,1:18.852,+4.538s
28,29,Bertrand GachotGAC,Lola Ford,1:19.496,+5.182s
29,25,Thierry BoutsenBOU,Ligier Lamborghini,1:19.648,+5.334s
30,30,Aguri SuzukiSUZ,Lola Ford,1:20.224,+5.910s
