Pos,No,Driver,Car,Time,Gap
1,2,Gerhard BergerBER,McLaren Honda,1:35.626,
2,1,Ayrton SennaSEN,McLaren Honda,1:35.635,+0.009s
3,5,Nigel MansellMAN,Williams Renault,1:36.556,+0.930s
4,6,Riccardo PatresePAT,Williams Renault,1:38.424,+2.798s
5,19,Michael SchumacherMSC,Benetton Ford,1:38.482,+2.856s
6,22,Jyrki JarvilehtoJAR,Dallara Judd,1:39.119,+3.493s
7,24,Gianni MorbidelliMOR,Minardi Ferrari,1:39.324,+3.698s
8,23,Pierluigi MartiniMAR,Minardi Ferrari,1:39.441,+3.815s
9,27,Alain ProstPRO,Ferrari,1:39.664,+4.038s
10,16,Karl WendlingerWEN,Leyton House Ilmor,1:39.667,+4.041s
11,4,Stefano ModenaMOD,Tyrrell Honda,1:39.732,+4.106s
12,7,Martin BrundleBRU,Brabham Yamaha,1:39.771,+4.145s
13,33,Andrea de CesarisDEC,Jordan Ford,1:39.905,+4.279s
14,10,Alex CaffiCAF,Footwork Porsche,1:40.165,+4.539s
15,21,Emanuele PirroPIR,Dallara Judd,1:40.193,+4.567s
16,15,Mauricio GugelminGUG,Leyton House Ilmor,1:40.315,+4.689s
17,9,Michele AlboretoALB,Footwork Porsche,1:40.405,+4.779s
18,30,Aguri SuzukiSUZ,Lola Ford,1:40.591,+4.965s
19,25,Thierry BoutsenBOU,Ligier Lamborghini,1:40.663,+5.037s
20,20,Nelson PiquetPIQ,Benetton Ford,1:40.729,+5.103s
21,14,Gabriele TarquiniTAR,Fondmetal Ford,1:41.141,+5.515s
22,12,Johnny HerbertHER,Lotus Judd,1:41.559,+5.933s
23,26,Erik ComasCOM,Ligier Lamborghini,1:41.709,+6.083s
24,3,Satoru NakajimaNAK,Tyrrell Honda,1:41.959,+6.333s
25,28,Jean AlesiALE,Ferrari,1:42.098,+6.472s
26,32,Alessandro ZanardiZAN,Jordan Ford,1:42.119,+6.493s
27,11,Mika HakkinenHAK,Lotus Judd,1:43.453,+7.827s
28,35,Eric van de PoeleVAN,Lambo Lamborghini,1:43.841,+8.215s
29,34,Nicola LariniLAR,Lambo Lamborghini,1:45.976,+10.350s
