Pos,No,Driver,Car,Time,Gap
1,5,Nigel MansellMAN,Williams Renault,1:36.998,
2,2,Gerhard BergerBER,McLaren Honda,1:39.174,+2.176s
3,1,Ayrton SennaSEN,McLaren Honda,1:39.595,+2.597s
4,28,Jean AlesiALE,Ferrari,1:40.137,+3.139s
5,27,Alain ProstPRO,Ferrari,1:40.357,+3.359s
6,6,Riccardo PatresePAT,Williams Renault,1:40.468,+3.470s
7,20,Nelson PiquetPIQ,Benetton Ford,1:40.980,+3.982s
8,33,Andrea de CesarisDEC,Jordan Ford,1:41.297,+4.299s
9,3,Satoru NakajimaNAK,Tyrrell Honda,1:41.854,+4.856s
10,19,Roberto MorenoMOR,Benetton Ford,1:41.869,+4.871s
11,22,Jyrki JarvilehtoJAR,Dallara Judd,1:42.035,+5.037s
12,4,Stefano ModenaMOD,Tyrrell Honda,1:42.445,+5.447s
13,8,Mark BlundellBLU,Brabham Yamaha,1:42.523,+5.525s
14,15,Mauricio GugelminGUG,Leyton House Ilmor,1:42.698,+5.700s
15,30,Aguri SuzukiSUZ,Lola Ford,1:42.718,+5.720s
16,25,Thierry BoutsenBOU,Ligier Lamborghini,1:42.800,+5.802s
17,16,Ivan CapelliCAP,Leyton House Ilmor,1:42.833,+5.835s
18,7,Martin BrundleBRU,Brabham Yamaha,1:43.060,+6.062s
19,23,Pierluigi MartiniMAR,Minardi Ferrari,1:43.158,+6.160s
20,34,Nicola LariniLAR,Lambo Lamborghini,1:43.271,+6.273s
21,11,Mika HakkinenHAK,Lotus Judd,1:43.451,+6.453s
22,12,Michael BartelsBAR,Lotus Judd,1:44.362,+7.364s
23,21,Emanuele PirroPIR,Dallara Judd,1:45.561,+8.563s
24,9,Michele AlboretoALB,Footwork Porsche,1:45.811,+8.813s
25,29,Eric BernardBER,Lola Ford,1:45.915,+8.917s
26,17,Gabriele TarquiniTAR,AGS Ford,1:46.165,+9.167s
27,24,Gianni MorbidelliMOR,Minardi Ferrari,1:46.226,+9.228s
28,35,Eric van de PoeleVAN,Lambo Lamborghini,1:47.038,+10.040s
29,26,Erik ComasCOM,Ligier Lamborghini,1:47.615,+10.617s
30,32,Bertrand GachotGAC,Jordan Ford,1:48.024,+11.026s
