Pos,No,Driver,Car,Time,Gap
1,5,Nigel MansellMAN,Williams Renault,1:16.832,
2,4,Stefano ModenaMOD,Tyrrell Honda,1:18.836,+2.004s
3,2,Gerhard BergerBER,McLaren Honda,1:18.940,+2.108s
4,1,Ayrton SennaSEN,McLaren Honda,1:19.468,+2.636s
5,3,Satoru NakajimaNAK,Tyrrell Honda,1:20.109,+3.277s
6,29,Eric BernardBER,Lola Ford,1:20.336,+3.504s
7,32,Bertrand GachotGAC,Jordan Ford,1:20.345,+3.513s
8,14,Olivier GrouillardGRO,Fondmetal Ford,1:20.663,+3.831s
9,33,Andrea de CesarisDEC,Jordan Ford,1:20.773,+3.941s
10,30,Aguri SuzukiSUZ,Lola Ford,1:20.985,+4.153s
11,12,Johnny HerbertHER,Lotus Judd,1:21.001,+4.169s
12,11,Mika HakkinenHAK,Lotus Judd,1:21.134,+4.302s
13,7,Martin BrundleBRU,Brabham Yamaha,1:21.199,+4.367s
14,26,Erik ComasCOM,Ligier Lamborghini,1:21.236,+4.404s
15,24,Gianni MorbidelliMOR,Minardi Ferrari,1:21.333,+4.501s
16,27,Alain ProstPRO,Ferrari,1:21.334,+4.502s
17,23,Pierluigi MartiniMAR,Minardi Ferrari,1:21.570,+4.738s
18,22,Jyrki JarvilehtoJAR,Dallara Judd,1:21.693,+4.861s
19,8,Mark BlundellBLU,Brabham Yamaha,1:21.694,+4.862s
20,15,Mauricio GugelminGUG,Leyton House Ilmor,1:22.040,+5.208s
21,19,Roberto MorenoMOR,Benetton Ford,1:22.064,+5.232s
22,16,Ivan CapelliCAP,Leyton House Ilmor,1:22.472,+5.640s
23,17,Gabriele TarquiniTAR,AGS Ford,1:22.714,+5.882s
24,6,Riccardo PatresePAT,Williams Renault,1:22.835,+6.003s
25,28,Jean AlesiALE,Ferrari,1:22.965,+6.133s
26,18,Fabrizio BarbazzaBAR,AGS Ford,1:23.041,+6.209s
27,9,Michele AlboretoALB,Footwork Porsche,1:23.369,+6.537s
28,10,Stefan JohanssonJOH,Footwork Porsche,1:23.434,+6.602s
29,20,Nelson PiquetPIQ,Benetton Ford,1:24.159,+7.327s
30,25,Thierry BoutsenBOU,Ligier Lamborghini,1:24.250,+7.418s
