Pos,No,Driver,Car,Time
1,44,Lewis HamiltonHAM,Mercedes,1:29.493
2,6,Nico RosbergROS,Mercedes,1:29.570
3,5,Sebastian VettelVET,Ferrari,1:30.012
4,7,Kimi RäikkönenRAI,Ferrari,1:30.244
5,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:30.854
6,77,Valtteri BottasBOT,Williams Mercedes,1:31.153
7,19,Felipe MassaMAS,Williams Mercedes,1:31.155
8,27,Nico HulkenbergHUL,Force India Mercedes,1:31.620
9,8,Romain GrosjeanGRO,Haas Ferrari,1:31.756
10,33,Max VerstappenVER,Toro Rosso Ferrari,1:31.772
11,55,Carlos SainzSAI,Toro Rosso Ferrari,1:31.816
12,47,Stoffel VandoorneVAN,McLaren Honda,1:31.934
13,21,Esteban Gutierrez GUT,Haas Ferrari,1:31.945
14,22,Jenson ButtonBUT,McLaren Honda,1:31.998
15,26,Daniil KvyatKVY,Red Bull Racing TAG Heuer,1:32.241
16,94,Pascal WehrleinWEH,MRT Mercedes,1:32.806
17,9,Marcus EricssonERI,Sauber Ferrari,1:32.840
18,11,Sergio PerezPER,Force India Mercedes,1:32.911
19,30,Jolyon PalmerPAL,Renault,1:33.438
20,88,Rio HaryantoHAR,MRT Mercedes,1:34.190
21,12,Felipe NasrNAS,Sauber Ferrari,1:34.388
