Pos,No,Driver,Car,Time
1,6,Nico RosbergROS,Mercedes,1:35.402
2,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:35.917
3,7,Kimi RäikkönenRAI,Ferrari,1:35.972
4,5,Sebastian VettelVET,Ferrari,1:36.246
5,77,Valtteri BottasBOT,Williams Mercedes,1:36.296
6,26,Daniil KvyatKVY,Red Bull Racing TAG Heuer,1:36.399
7,11,Sergio PerezPER,Force India Mercedes,1:36.865
8,55,Carlos SainzSAI,Toro Rosso Ferrari,1:36.881
9,33,Max VerstappenVER,Toro Rosso Ferrari,1:37.194
10,19,Felipe MassaMAS,Williams Mercedes,1:37.347
11,14,Fernando AlonsoALO,McLaren Honda,1:38.826
12,22,Jenson ButtonBUT,McLaren Honda,1:39.093
13,27,Nico HulkenbergHUL,Force India Mercedes,
14,8,Romain GrosjeanGRO,Haas Ferrari,1:39.830
15,9,Marcus EricssonERI,Sauber Ferrari,1:40.742
16,12,Felipe NasrNAS,Sauber Ferrari,1:42.430
17,20,Kevin MagnussenMAG,Renault,1:38.673
18,21,Esteban Gutierrez GUT,Haas Ferrari,1:38.770
19,30,Jolyon PalmerPAL,Renault,1:39.528
20,88,Rio HaryantoHAR,MRT Mercedes,1:40.264
21,94,Pascal WehrleinWEH,MRT Mercedes,
22,44,Lewis HamiltonHAM,Mercedes,
