Pos,No,Driver,Car,Time
1,44,Lewis HamiltonHAM,Mercedes,1:07.922
2,27,Nico HulkenbergHUL,Force India Mercedes,1:09.285
3,22,Jenson ButtonBUT,McLaren Honda,1:09.900
4,7,Kimi RäikkönenRAI,Ferrari,1:09.901
5,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:09.980
6,6,Nico RosbergROS,Mercedes,1:08.465
7,77,Valtteri BottasBOT,Williams Mercedes,1:10.440
8,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:11.153
9,5,Sebastian VettelVET,Ferrari,1:09.781
10,19,Felipe MassaMAS,Williams Mercedes,1:11.977
11,21,Esteban Gutierrez GUT,Haas Ferrari,1:07.578
12,94,Pascal WehrleinWEH,MRT Mercedes,1:07.700
13,8,Romain GrosjeanGRO,Haas Ferrari,1:07.850
14,14,Fernando AlonsoALO,McLaren Honda,1:08.154
15,55,Carlos SainzSAI,Toro Rosso Ferrari,
16,11,Sergio PerezPER,Force India Mercedes,
17,20,Kevin MagnussenMAG,Renault,1:07.941
18,9,Marcus EricssonERI,Sauber Ferrari,1:08.418
19,30,Jolyon PalmerPAL,Renault,1:07.965
20,88,Rio HaryantoHAR,MRT Mercedes,1:08.026
21,12,Felipe NasrNAS,Sauber Ferrari,1:08.446
