Pos,No,Driver,Car,Time
1,44,Lewis HamiltonHAM,Mercedes,1:34.999
2,6,Nico RosbergROS,Mercedes,1:35.215
3,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:35.509
4,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:35.747
5,7,Kimi RäikkönenRAI,Ferrari,1:36.131
6,5,Sebastian VettelVET,Ferrari,1:36.358
7,27,Nico HulkenbergHUL,Force India Mercedes,1:36.628
8,77,Valtteri BottasBOT,Williams Mercedes,1:37.116
9,19,Felipe MassaMAS,Williams Mercedes,1:37.269
10,55,Carlos SainzSAI,Toro Rosso Ferrari,1:37.326
11,11,Sergio PerezPER,Force India Mercedes,1:37.353
12,14,Fernando AlonsoALO,McLaren Honda,1:37.417
13,26,Daniil KvyatKVY,Toro Rosso Ferrari,1:37.480
14,21,Esteban Gutierrez GUT,Haas Ferrari,1:37.773
15,30,Jolyon PalmerPAL,Renault,1:37.935
16,9,Marcus EricssonERI,Sauber Ferrari,1:39.356
17,8,Romain GrosjeanGRO,Haas Ferrari,1:38.308
18,20,Kevin MagnussenMAG,Renault,1:38.317
19,22,Jenson ButtonBUT,McLaren Honda,1:38.327
20,94,Pascal WehrleinWEH,MRT Mercedes,1:38.548
21,12,Felipe NasrNAS,Sauber Ferrari,1:38.583
22,31,Esteban OconOCO,MRT Mercedes,1:38.806
