Pos,No,Driver,Car,Time
1,6,Nico RosbergROS,Mercedes,1:35.417
2,77,Valtteri BottasBOT,Williams Mercedes,1:36.536
3,7,Kimi RäikkönenRAI,Ferrari,1:36.663
4,19,Felipe MassaMAS,Williams Mercedes,1:37.016
5,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:37.125
6,11,Sergio PerezPER,Force India Mercedes,1:37.212
7,5,Sebastian VettelVET,Ferrari,1:36.123
8,26,Daniil KvyatKVY,Red Bull Racing TAG Heuer,1:37.459
9,33,Max VerstappenVER,Toro Rosso Ferrari,1:37.583
10,44,Lewis HamiltonHAM,Mercedes,
11,55,Carlos SainzSAI,Toro Rosso Ferrari,1:37.652
12,22,Jenson ButtonBUT,McLaren Honda,1:37.701
13,27,Nico HulkenbergHUL,Force India Mercedes,1:37.771
14,14,Fernando AlonsoALO,McLaren Honda,1:37.807
15,8,Romain GrosjeanGRO,Haas Ferrari,1:38.055
16,21,Esteban Gutierrez GUT,Haas Ferrari,1:38.115
17,20,Kevin MagnussenMAG,Renault,1:38.914
18,30,Jolyon PalmerPAL,Renault,1:39.009
19,12,Felipe NasrNAS,Sauber Ferrari,1:39.018
20,94,Pascal WehrleinWEH,MRT Mercedes,1:39.399
21,88,Rio HaryantoHAR,MRT Mercedes,1:39.463
22,9,Marcus EricssonERI,Sauber Ferrari,1:39.519
