Pos,No,Driver,Car,Laps,Time/retired,Pts
1,5,Michael SchumacherMSC,Benetton Ford,58,1:28:28.642,10
2,27,Nicola LariniLAR,Ferrari,58,+54.942s,6
3,7,Mika HakkinenHAK,McLaren Peugeot,58,+70.679s,4
4,29,Karl WendlingerWEN,Sauber Mercedes,58,+73.658s,3
5,3,Ukyo KatayamaKAT,Tyrrell Yamaha,57,+1 lap,2
6,0,Damon HillHIL,Williams Renault,57,+1 lap,1
7,30,Heinz-Harald FrentzenFRE,Sauber Mercedes,57,+1 lap,0
8,8,Martin BrundleBRU,McLaren Peugeot,57,+1 lap,0
9,4,Mark BlundellBLU,Tyrrell Yamaha,56,+2 laps,0
10,12,Johnny HerbertHER,Lotus Mugen Honda,56,+2 laps,0
11,26,Olivier PanisPAN,Ligier Renault,56,+2 laps,0
12,25,Eric BernardBER,Ligier Renault,55,+3 laps,0
13,9,Christian FittipaldiFIT,Footwork Ford,54,DNF,0
NC,15,Andrea de CesarisDEC,Jordan Hart,49,DNF,0
NC,24,Michele AlboretoALB,Minardi Ford,44,DNF,0
NC,10,Gianni MorbidelliMOR,Footwork Ford,40,DNF,0
NC,23,Pierluigi MartiniMAR,Minardi Ford,37,DNF,0
NC,31,David BrabhamBRA,Simtek Ford,27,DNF,0
NC,34,Bertrand GachotGAC,Pacific Ilmor,23,DNF,0
NC,19,Olivier BerettaBER,Larrousse Ford,17,DNF,0
NC,28,Gerhard BergerBER,Ferrari,16,DNF,0
NC,2,Ayrton SennaSEN,Williams Renault,5,DNF,0
NC,20,Erik ComasCOM,Larrousse Ford,5,DNF,0
