Pos,No,Driver,Car,Lap,Time
1,16,Derek WarwickWAR,Renault,32,1:46.221
2,15,Patrick TambayTAM,Renault,29,1:46.739
3,12,Nigel MansellMAN,Lotus Renault,13,1:46.921
4,1,Nelson PiquetPIQ,Brabham BMW,30,1:47.050
5,7,Alain ProstPRO,McLaren TAG,20,1:47.074
6,8,Niki LaudaLAU,McLaren TAG,27,1:47.192
7,6,Keke RosbergROS,Williams Honda,26,1:47.415
8,19,Ayrton SennaSEN,Toleman Hart,20,1:47.444
9,18,Thierry BoutsenBOU,Arrows BMW,24,1:47.561
10,27,Michele AlboretoALB,Ferrari,31,1:47.563
11,11,Elio de AngelisDEA,Lotus Renault,33,1:47.662
12,26,Andrea de CesarisDEC,Ligier Renault,17,1:47.670
13,22,Riccardo PatresePAT,Alfa Romeo,19,1:47.684
14,5,Jacques LaffiteLAF,Williams Honda,27,1:48.146
15,2,Teo FabiFAB,Brabham BMW,20,1:48.232
16,23,Eddie  CheeverCHE,Alfa Romeo,20,1:48.553
17,20,Johnny CecottoCEC,Toleman Hart,10,1:49.270
18,9,Philippe AlliotALL,RAM Hart,20,1:51.147
19,28,Rene ArnouxARN,Ferrari,2,1:52.636
20,24,Piercarlo GhinzaniGHI,Osella Alfa Romeo,2,1:53.489
21,25,Francois HesnaultHES,Ligier Renault,2,1:53.579
22,10,Jonathan  PalmerPAL,RAM Hart,2,1:57.367
