Pos,No,Driver,Car,Lap,Time
1,8,Niki LaudaLAU,McLaren TAG,57,1:13.191
2,1,Nelson PiquetPIQ,Brabham BMW,52,1:13.656
3,19,Ayrton SennaSEN,Toleman Hart,58,1:13.951
4,7,Alain ProstPRO,McLaren TAG,24,1:13.979
5,16,Derek WarwickWAR,Renault,43,1:14.236
6,11,Elio de AngelisDEA,Lotus Renault,57,1:14.389
7,15,Patrick TambayTAM,Renault,38,1:14.534
8,27,Michele AlboretoALB,Ferrari,47,1:15.131
9,28,Rene ArnouxARN,Ferrari,62,1:15.598
10,26,Andrea de CesarisDEC,Ligier Renault,59,1:16.062
11,21,Huub RothengatterROT,Spirit Ford,55,1:17.091
12,24,Piercarlo GhinzaniGHI,Osella Alfa Romeo,37,1:17.273
13,22,Riccardo PatresePAT,Alfa Romeo,44,1:17.319
14,12,Nigel MansellMAN,Lotus Renault,21,1:17.326
15,18,Thierry BoutsenBOU,Arrows BMW,19,1:17.750
16,5,Jacques LaffiteLAF,Williams Honda,11,1:18.006
17,17,Marc SurerSUR,Arrows BMW,22,1:18.008
18,25,Francois HesnaultHES,Ligier Renault,22,1:18.126
19,2,Teo FabiFAB,Brabham BMW,7,1:18.364
20,14,Manfred WinkelhockWIN,ATS BMW,6,1:18.553
21,6,Keke RosbergROS,Williams Honda,3,1:19.336
22,10,Jonathan  PalmerPAL,RAM Hart,10,1:20.114
