Pos,No,Driver,Car,Lap,Time
1,15,Patrick TambayTAM,Renault,64,1:08.877
2,7,Alain ProstPRO,McLaren TAG,41,1:09.398
3,16,Derek WarwickWAR,Renault,58,1:09.526
4,8,Niki LaudaLAU,McLaren TAG,62,1:09.666
5,1,Nelson PiquetPIQ,Brabham BMW,6,1:10.132
6,11,Elio de AngelisDEA,Lotus Renault,43,1:10.150
7,2,Teo FabiFAB,Brabham BMW,6,1:10.345
8,6,Keke RosbergROS,Williams Honda,39,1:10.600
9,22,Riccardo PatresePAT,Alfa Romeo,44,1:11.385
10,28,Rene ArnouxARN,Ferrari,12,1:11.421
11,5,Jacques LaffiteLAF,Williams Honda,6,1:11.790
12,12,Nigel MansellMAN,Lotus Renault,16,1:11.825
13,27,Michele AlboretoALB,Ferrari,4,1:11.828
14,19,Ayrton SennaSEN,Toleman Hart,71,1:12.124
15,26,Andrea de CesarisDEC,Ligier Renault,7,1:12.510
16,20,Johnny CecottoCEC,Toleman Hart,11,1:12.523
17,14,Manfred WinkelhockWIN,ATS BMW,5,1:12.527
18,25,Francois HesnaultHES,Ligier Renault,5,1:13.054
19,21,Mauro BaldiBAL,Spirit Ford,70,1:13.267
20,23,Eddie  CheeverCHE,Alfa Romeo,3,1:14.046
21,17,Marc SurerSUR,Arrows BMW,67,1:14.090
22,18,Thierry BoutsenBOU,Arrows BMW,57,1:14.906
23,10,Jonathan  PalmerPAL,RAM Hart,14,1:14.927
24,9,Philippe AlliotALL,RAM Hart,15,1:14.943
