Pos,No,Driver,Car,Lap,Time
1,1,Nelson PiquetPIQ,Brabham BMW,62,1:23.146
2,27,Michele AlboretoALB,Ferrari,62,1:23.146
3,8,Niki LaudaLAU,McLaren TAG,48,1:23.729
4,12,Nigel MansellMAN,Lotus Renault,48,1:23.978
5,28,Rene ArnouxARN,Ferrari,61,1:24.169
6,7,Alain ProstPRO,McLaren TAG,30,1:24.182
7,16,Derek WarwickWAR,Renault,46,1:24.211
8,15,Patrick TambayTAM,Renault,31,1:24.671
9,2,Teo FabiFAB,Brabham BMW,15,1:24.814
10,23,Eddie  CheeverCHE,Alfa Romeo,36,1:25.512
11,22,Riccardo PatresePAT,Alfa Romeo,37,1:25.644
12,5,Jacques LaffiteLAF,Williams Honda,19,1:25.687
13,11,Elio de AngelisDEA,Lotus Renault,22,1:25.836
14,18,Thierry BoutsenBOU,Arrows BMW,49,1:25.908
15,26,Andrea de CesarisDEC,Ligier Renault,25,1:26.378
16,21,Mauro BaldiBAL,Spirit Ford,65,1:26.680
17,20,Stefan JohanssonJOH,Toleman Hart,11,1:26.943
18,30,Jo GartnerGAR,Osella Alfa Romeo,32,1:28.249
19,25,Francois HesnaultHES,Ligier Renault,49,1:28.276
20,10,Jonathan  PalmerPAL,RAM Hart,13,1:30.415
21,9,Philippe AlliotALL,RAM Hart,19,1:30.480
