Pos,No,Driver,Car,Lap,Time
1,8,Niki LaudaLAU,McLaren TAG,23,1:32.882
2,15,Patrick TambayTAM,Renault,17,1:33.056
3,1,Nelson PiquetPIQ,Brabham BMW,12,1:33.074
4,7,Alain ProstPRO,McLaren TAG,22,1:33.081
5,11,Elio de AngelisDEA,Lotus Renault,11,1:33.227
6,2,Teo FabiFAB,Brabham BMW,38,1:34.342
7,19,Ayrton SennaSEN,Toleman Hart,6,1:34.348
8,12,Nigel MansellMAN,Lotus Renault,27,1:34.401
9,16,Derek WarwickWAR,Renault,7,1:34.469
10,27,Michele AlboretoALB,Ferrari,47,1:34.821
11,17,Marc SurerSUR,Arrows BMW,40,1:35.209
12,5,Jacques LaffiteLAF,Williams Honda,11,1:35.240
13,22,Riccardo PatresePAT,Alfa Romeo,20,1:35.659
14,28,Rene ArnouxARN,Ferrari,35,1:35.846
15,6,Keke RosbergROS,Williams Honda,4,1:35.944
16,18,Thierry BoutsenBOU,Arrows BMW,40,1:36.105
17,23,Eddie  CheeverCHE,Alfa Romeo,16,1:36.197
18,31,Gerhard BergerBER,ATS BMW,15,1:36.914
19,26,Andrea de CesarisDEC,Ligier Renault,5,1:36.976
20,10,Jonathan  PalmerPAL,RAM Hart,38,1:37.626
21,25,Francois HesnaultHES,Ligier Renault,4,1:37.906
22,9,Philippe AlliotALL,RAM Hart,17,1:39.245
23,24,Piercarlo GhinzaniGHI,Osella Alfa Romeo,3,1:39.297
24,30,Jo GartnerGAR,Osella Alfa Romeo,2,1:40.359
25,21,Huub RothengatterROT,Spirit Ford,13,1:41.317
