Pos,No,Driver,Car,Lap,Time
1,28,Rene ArnouxARN,Ferrari,64,1:19.294
2,6,Keke RosbergROS,Williams Honda,62,1:20.527
3,27,Michele AlboretoALB,Ferrari,20,1:20.727
4,16,Derek WarwickWAR,Renault,13,1:21.245
5,1,Nelson PiquetPIQ,Brabham BMW,12,1:21.450
6,23,Eddie  CheeverCHE,Alfa Romeo,28,1:21.703
7,14,Manfred WinkelhockWIN,ATS BMW,5,1:21.754
8,2,Teo FabiFAB,Brabham BMW,40,1:21.812
9,8,Niki LaudaLAU,McLaren TAG,12,1:21.853
10,11,Elio de AngelisDEA,Lotus Renault,11,1:22.115
11,15,Patrick TambayTAM,Renault,54,1:22.298
12,26,Andrea de CesarisDEC,Ligier Renault,28,1:22.327
13,12,Nigel MansellMAN,Lotus Renault,9,1:22.374
14,18,Thierry BoutsenBOU,Arrows BMW,13,1:22.560
15,19,Ayrton SennaSEN,Toleman Hart,58,1:22.633
16,7,Alain ProstPRO,McLaren TAG,4,1:22.879
17,24,Piercarlo GhinzaniGHI,Osella Alfa Romeo,10,1:23.096
18,5,Jacques LaffiteLAF,Williams Honda,10,1:23.164
19,17,Marc SurerSUR,Arrows BMW,15,1:23.813
20,25,Francois HesnaultHES,Ligier Renault,15,1:23.945
21,22,Riccardo PatresePAT,Alfa Romeo,2,1:24.430
22,21,Mauro BaldiBAL,Spirit Ford,11,1:25.564
23,10,Jonathan  PalmerPAL,RAM Hart,9,1:25.973
24,20,Johnny CecottoCEC,Toleman Hart,1,3:28.744
