Pos,No,Driver,Car,Lap,Time
1,28,Rene ArnouxARN,Ferrari,64,1:19.465
2,7,Alain ProstPRO,McLaren TAG,45,1:20.063
3,8,Niki LaudaLAU,McLaren TAG,37,1:20.470
4,15,Patrick TambayTAM,Renault,41,1:20.585
5,2,Teo FabiFAB,Brabham BMW,36,1:20.861
6,1,Nelson PiquetPIQ,Brabham BMW,2,1:20.942
7,23,Eddie  CheeverCHE,Alfa Romeo,55,1:21.203
8,27,Michele AlboretoALB,Ferrari,3,1:21.442
9,11,Elio de AngelisDEA,Lotus Renault,22,1:21.455
10,12,Nigel MansellMAN,Lotus Renault,28,1:21.463
11,18,Thierry BoutsenBOU,Arrows BMW,43,1:21.516
12,6,Keke RosbergROS,Williams Honda,4,1:21.593
13,19,Ayrton SennaSEN,Toleman Hart,7,1:21.683
14,5,Jacques LaffiteLAF,Williams Honda,22,1:21.898
15,16,Derek WarwickWAR,Renault,3,1:22.203
16,22,Riccardo PatresePAT,Alfa Romeo,34,1:22.486
17,26,Andrea de CesarisDEC,Ligier Renault,10,1:22.668
18,10,Jonathan  PalmerPAL,RAM Hart,35,1:22.835
19,17,Marc SurerSUR,Arrows BMW,14,1:23.141
20,25,Francois HesnaultHES,Ligier Renault,10,1:23.153
21,30,Jo GartnerGAR,Osella Alfa Romeo,29,1:23.615
22,14,Manfred WinkelhockWIN,ATS BMW,9,1:23.934
23,9,Philippe AlliotALL,RAM Hart,55,1:24.517
24,21,Huub RothengatterROT,Spirit Ford,34,1:24.562
25,24,Piercarlo GhinzaniGHI,Osella Alfa Romeo,6,1:25.656
