Pos,No,Driver,Car,Lap,Time
1,7,Alain ProstPRO,McLaren TAG,31,1:53.538
2,8,Niki LaudaLAU,McLaren TAG,29,1:53.778
3,1,Nelson PiquetPIQ,Brabham BMW,6,1:54.328
4,12,Nigel MansellMAN,Lotus Renault,33,1:54.466
5,6,Keke RosbergROS,Williams Honda,7,1:54.529
6,15,Patrick TambayTAM,Renault,33,1:54.583
7,11,Elio de AngelisDEA,Lotus Renault,7,1:54.776
8,16,Derek WarwickWAR,Renault,37,1:55.024
9,2,Teo FabiFAB,Brabham BMW,23,1:55.062
10,5,Jacques LaffiteLAF,Williams Honda,4,1:55.176
11,28,Rene ArnouxARN,Ferrari,32,1:55.668
12,19,Ayrton SennaSEN,Toleman Hart,4,1:55.712
13,27,Michele AlboretoALB,Ferrari,4,1:56.930
14,18,Thierry BoutsenBOU,Arrows BMW,7,1:57.142
15,23,Eddie  CheeverCHE,Alfa Romeo,18,1:57.460
16,22,Riccardo PatresePAT,Alfa Romeo,7,1:58.257
17,25,Francois HesnaultHES,Ligier Renault,7,1:58.421
18,24,Piercarlo GhinzaniGHI,Osella Alfa Romeo,7,1:58.425
19,26,Andrea de CesarisDEC,Ligier Renault,5,1:58.588
20,14,Manfred WinkelhockWIN,ATS BMW,6,1:58.658
21,30,Jo GartnerGAR,Osella Alfa Romeo,7,1:59.567
22,10,Jonathan  PalmerPAL,RAM Hart,7,2:01.116
23,9,Philippe AlliotALL,RAM Hart,2,2:02.203
24,21,Huub RothengatterROT,Spirit Ford,2,2:03.195
25,17,Marc SurerSUR,Arrows BMW,1,3:02.645
