Pos,No,Driver,Car,Lap,Time
1,1,Nelson PiquetPIQ,Brabham BMW,48,1:33.275
2,28,Rene ArnouxARN,Ferrari,44,1:33.373
3,7,Alain ProstPRO,McLaren TAG,50,1:33.580
4,26,Andrea de CesarisDEC,Ligier Renault,55,1:34.415
5,11,Elio de AngelisDEA,Lotus Renault,54,1:34.525
6,8,Niki LaudaLAU,McLaren TAG,11,1:34.686
7,2,Teo FabiFAB,Brabham BMW,44,1:35.534
8,23,Eddie  CheeverCHE,Alfa Romeo,27,1:35.849
9,16,Derek WarwickWAR,Renault,12,1:36.000
10,27,Michele AlboretoALB,Ferrari,20,1:36.053
11,17,Marc SurerSUR,Arrows BMW,25,1:37.089
12,14,Manfred WinkelhockWIN,ATS BMW,11,1:37.319
13,10,Jonathan  PalmerPAL,RAM Hart,44,1:37.472
14,9,Philippe AlliotALL,RAM Hart,47,1:38.199
15,20,Johnny CecottoCEC,Toleman Hart,52,1:38.208
16,5,Jacques LaffiteLAF,Williams Honda,11,1:38.517
17,22,Riccardo PatresePAT,Alfa Romeo,3,1:39.389
18,21,Mauro BaldiBAL,Spirit Ford,46,1:39.404
19,18,Thierry BoutsenBOU,Arrows BMW,52,1:39.430
20,6,Keke RosbergROS,Williams Honda,2,1:39.769
21,30,Jo GartnerGAR,Osella Alfa Romeo,41,1:40.949
22,12,Nigel MansellMAN,Lotus Renault,2,1:41.622
