Pos,No,Driver,Car,Lap,Time
1,7,Alain ProstPRO,McLaren TAG,42,1:36.499
2,16,Derek WarwickWAR,Renault,47,1:36.556
3,15,Patrick TambayTAM,Renault,30,1:37.211
4,11,Elio de AngelisDEA,Lotus Renault,36,1:38.180
5,8,Niki LaudaLAU,McLaren TAG,7,1:38.389
6,6,Keke RosbergROS,Williams Honda,51,1:38.506
7,27,Michele AlboretoALB,Ferrari,3,1:38.530
8,12,Nigel MansellMAN,Lotus Renault,33,1:38.796
9,23,Eddie  CheeverCHE,Alfa Romeo,39,1:39.125
10,22,Riccardo PatresePAT,Alfa Romeo,35,1:39.919
11,2,Teo FabiFAB,Brabham BMW,25,1:39.953
12,1,Nelson PiquetPIQ,Brabham BMW,7,1:40.003
13,28,Rene ArnouxARN,Ferrari,6,1:40.273
14,26,Andrea de CesarisDEC,Ligier Renault,23,1:40.673
15,5,Jacques LaffiteLAF,Williams Honda,5,1:41.096
16,19,Ayrton SennaSEN,Toleman Hart,6,1:42.286
17,20,Johnny CecottoCEC,Toleman Hart,11,1:42.880
18,25,Francois HesnaultHES,Ligier Renault,4,1:42.998
19,18,Thierry BoutsenBOU,Arrows BMW,18,1:43.247
20,24,Piercarlo GhinzaniGHI,Osella Alfa Romeo,20,1:43.878
21,17,Marc SurerSUR,Arrows BMW,4,1:43.960
22,9,Philippe AlliotALL,RAM Hart,14,1:44.934
23,10,Jonathan  PalmerPAL,RAM Hart,11,1:45.637
24,21,Mauro BaldiBAL,Spirit Ford,9,1:46.380
