Pos,No,Driver,Car,Lap,Time
1,8,Niki LaudaLAU,McLaren TAG,22,1:45.353
2,28,Rene ArnouxARN,Ferrari,38,1:45.545
3,12,Nigel MansellMAN,Lotus Renault,9,1:45.593
4,16,Derek WarwickWAR,Renault,8,1:45.648
5,7,Alain ProstPRO,McLaren TAG,23,1:45.976
6,11,Elio de AngelisDEA,Lotus Renault,26,1:46.042
7,6,Keke RosbergROS,Williams Honda,9,1:46.104
8,15,Patrick TambayTAM,Renault,16,1:46.373
9,19,Ayrton SennaSEN,Toleman Hart,39,1:46.419
10,1,Nelson PiquetPIQ,Brabham BMW,37,1:46.502
11,27,Michele AlboretoALB,Ferrari,34,1:46.716
12,26,Andrea de CesarisDEC,Ligier Renault,8,1:47.341
13,20,Johnny CecottoCEC,Toleman Hart,24,1:47.827
14,18,Thierry BoutsenBOU,Arrows BMW,13,1:48.229
15,2,Corrado FabiFAB,Brabham BMW,10,1:48.361
16,5,Jacques LaffiteLAF,Williams Honda,34,1:48.532
17,24,Piercarlo GhinzaniGHI,Osella Alfa Romeo,22,1:48.604
18,23,Eddie  CheeverCHE,Alfa Romeo,8,1:49.010
19,22,Riccardo PatresePAT,Alfa Romeo,8,1:50.274
20,17,Marc SurerSUR,Arrows BMW,7,1:50.374
21,14,Manfred WinkelhockWIN,ATS BMW,32,1:50.549
22,21,Huub RothengatterROT,Spirit Ford,9,1:51.347
23,10,Jonathan  PalmerPAL,RAM Hart,7,1:52.958
