Pos,No,Driver,Car,Lap,Time
1,5,Nigel MansellMAN,Williams Honda,69,1:09.593
2,6,Nelson PiquetPIQ,Williams Honda,68,1:09.805
3,1,Alain ProstPRO,McLaren TAG,54,1:10.827
4,7,Riccardo PatresePAT,Brabham BMW,39,1:12.422
5,19,Teo FabiFAB,Benetton BMW,45,1:12.644
6,27,Michele AlboretoALB,Ferrari,38,1:12.741
7,25,Rene ArnouxARN,Ligier Renault,56,1:12.790
8,8,Derek WarwickWAR,Brabham BMW,37,1:12.926
9,11,Johnny DumfriesDUM,Lotus Renault,71,1:13.077
10,20,Gerhard BergerBER,Benetton BMW,19,1:13.247
11,3,Martin BrundleBRU,Tyrrell Renault,65,1:13.386
12,16,Patrick TambayTAM,Lola Hart,48,1:13.460
13,4,Philippe StreiffSTR,Tyrrell Renault,70,1:13.553
14,12,Ayrton SennaSEN,Lotus Renault,23,1:14.024
15,2,Keke RosbergROS,McLaren TAG,5,1:14.639
16,15,Alan  JonesJON,Lola Hart,19,1:14.992
17,28,Stefan JohanssonJOH,Ferrari,9,1:15.490
18,23,Andrea de CesarisDEC,Minardi Motori Moderni,22,1:16.380
19,24,Alessandro NanniniNAN,Minardi Motori Moderni,35,1:16.427
20,14,Jonathan  PalmerPAL,Zakspeed,37,1:16.985
21,18,Thierry BoutsenBOU,Arrows BMW,57,1:17.103
22,29,Huub RothengatterROT,Zakspeed,21,1:17.814
