Pos,No,Driver,Car,Lap,Time
1,6,Nelson PiquetPIQ,Williams Honda,57,1:28.667
2,20,Gerhard BergerBER,Benetton BMW,58,1:29.141
3,1,Alain ProstPRO,McLaren TAG,41,1:29.464
4,2,Keke RosbergROS,McLaren TAG,58,1:29.652
5,27,Michele AlboretoALB,Ferrari,43,1:30.316
6,28,Stefan JohanssonJOH,Ferrari,53,1:30.768
7,25,Rene ArnouxARN,Ligier Renault,42,1:31.435
8,7,Riccardo PatresePAT,Brabham BMW,58,1:31.842
9,12,Ayrton SennaSEN,Lotus Renault,6,1:31.999
10,5,Nigel MansellMAN,Williams Honda,8,1:32.145
11,19,Teo FabiFAB,Benetton BMW,20,1:32.246
12,8,Elio de AngelisDEA,Brabham BMW,19,1:32.544
13,15,Alan  JonesJON,Lola Hart,22,1:32.615
14,26,Jacques LaffiteLAF,Ligier Renault,12,1:33.223
15,14,Jonathan  PalmerPAL,Zakspeed,37,1:33.406
16,18,Thierry BoutsenBOU,Arrows BMW,54,1:33.435
17,17,Marc SurerSUR,Arrows BMW,49,1:33.565
18,3,Martin BrundleBRU,Tyrrell Renault,51,1:34.022
19,23,Andrea de CesarisDEC,Minardi Motori Moderni,19,1:34.134
20,16,Patrick TambayTAM,Lola Hart,4,1:34.321
21,11,Johnny DumfriesDUM,Lotus Renault,5,1:34.540
22,22,Christian DannerDAN,Osella Alfa Romeo,24,1:34.558
23,4,Philippe StreiffSTR,Tyrrell Renault,22,1:34.811
24,21,Piercarlo GhinzaniGHI,Osella Alfa Romeo,23,1:35.748
25,29,Huub RothengatterROT,Zakspeed,7,1:36.263
