Pos,No,Driver,Car,Lap,Time
1,6,Nelson PiquetPIQ,Williams Honda,73,1:31.001
2,12,Ayrton SennaSEN,Lotus Renault,72,1:31.261
3,2,Keke RosbergROS,McLaren TAG,27,1:32.684
4,5,Nigel MansellMAN,Williams Honda,51,1:32.965
5,1,Alain ProstPRO,McLaren TAG,23,1:33.422
6,28,Stefan JohanssonJOH,Ferrari,66,1:33.474
7,16,Patrick TambayTAM,Lola Hart,57,1:33.840
8,15,Alan  JonesJON,Lola Hart,39,1:33.896
9,3,Martin BrundleBRU,Tyrrell Renault,64,1:34.633
10,27,Michele AlboretoALB,Ferrari,23,1:34.846
11,26,Philippe AlliotALL,Ligier Renault,69,1:35.042
12,25,Rene ArnouxARN,Ligier Renault,44,1:35.144
13,11,Johnny DumfriesDUM,Lotus Renault,73,1:35.414
14,20,Gerhard BergerBER,Benetton BMW,37,1:35.501
15,4,Philippe StreiffSTR,Tyrrell Renault,37,1:35.832
16,19,Teo FabiFAB,Benetton BMW,18,1:35.887
17,8,Derek WarwickWAR,Brabham BMW,15,1:36.084
18,7,Riccardo PatresePAT,Brabham BMW,4,1:37.263
19,14,Jonathan  PalmerPAL,Zakspeed,59,1:38.091
20,17,Christian DannerDAN,Arrows BMW,5,1:38.631
21,18,Thierry BoutsenBOU,Arrows BMW,15,1:39.022
22,24,Alessandro NanniniNAN,Minardi Motori Moderni,4,1:39.204
23,23,Andrea de CesarisDEC,Minardi Motori Moderni,5,1:40.570
24,21,Piercarlo GhinzaniGHI,Osella Alfa Romeo,9,1:43.280
25,29,Huub RothengatterROT,Zakspeed,2,1:57.208
26,22,Allen BergBER,Osella Alfa Romeo,1,3:00.202
