Pos,No,Driver,Car,Lap,Time
1,6,Nelson PiquetPIQ,Williams Honda,64,1:19.360
2,5,Nigel MansellMAN,Williams Honda,63,1:19.441
3,28,Stefan JohanssonJOH,Ferrari,52,1:20.182
4,12,Ayrton SennaSEN,Lotus Renault,64,1:20.237
5,1,Alain ProstPRO,McLaren TAG,37,1:20.357
6,20,Gerhard BergerBER,Benetton BMW,42,1:20.543
7,7,Riccardo PatresePAT,Brabham BMW,60,1:21.060
8,2,Keke RosbergROS,McLaren TAG,19,1:21.298
9,26,Philippe AlliotALL,Ligier Renault,62,1:21.630
10,14,Jonathan  PalmerPAL,Zakspeed,62,1:21.732
11,8,Derek WarwickWAR,Brabham BMW,32,1:21.890
12,25,Rene ArnouxARN,Ligier Renault,57,1:22.020
13,15,Alan  JonesJON,Lola Hart,26,1:22.024
14,11,Johnny DumfriesDUM,Lotus Renault,22,1:22.036
15,18,Thierry BoutsenBOU,Arrows BMW,54,1:22.315
16,23,Andrea de CesarisDEC,Minardi Motori Moderni,48,1:22.430
17,27,Michele AlboretoALB,Ferrari,9,1:22.546
18,3,Martin BrundleBRU,Tyrrell Renault,7,1:23.337
19,17,Christian DannerDAN,Arrows BMW,30,1:23.551
20,4,Philippe StreiffSTR,Tyrrell Renault,6,1:24.525
21,24,Alessandro NanniniNAN,Minardi Motori Moderni,46,1:24.978
22,19,Teo FabiFAB,Benetton BMW,3,1:25.615
23,22,Allen BergBER,Osella Alfa Romeo,53,1:28.736
24,21,Piercarlo GhinzaniGHI,Osella Alfa Romeo,5,1:30.412
