Pos,No,Driver,Car,Lap,Time
1,20,Gerhard BergerBER,Benetton BMW,49,1:29.444
2,1,Alain ProstPRO,McLaren TAG,32,1:30.751
3,25,Rene ArnouxARN,Ligier Renault,47,1:30.958
4,19,Teo FabiFAB,Benetton BMW,10,1:31.522
5,2,Keke RosbergROS,McLaren TAG,31,1:31.704
6,5,Nigel MansellMAN,Williams Honda,32,1:31.831
7,6,Nelson PiquetPIQ,Williams Honda,26,1:32.633
8,28,Stefan JohanssonJOH,Ferrari,42,1:33.400
9,12,Ayrton SennaSEN,Lotus Renault,5,1:33.437
10,26,Philippe AlliotALL,Ligier Renault,13,1:33.845
11,27,Michele AlboretoALB,Ferrari,23,1:33.915
12,16,Patrick TambayTAM,Lola Hart,49,1:34.103
13,15,Alan  JonesJON,Lola Hart,4,1:34.431
14,17,Christian DannerDAN,Arrows BMW,30,1:34.844
15,3,Martin BrundleBRU,Tyrrell Renault,4,1:34.997
16,24,Alessandro NanniniNAN,Minardi Motori Moderni,3,1:35.459
17,11,Johnny DumfriesDUM,Lotus Renault,7,1:35.941
18,4,Philippe StreiffSTR,Tyrrell Renault,3,1:35.965
19,18,Thierry BoutsenBOU,Arrows BMW,7,1:36.132
20,23,Andrea de CesarisDEC,Minardi Motori Moderni,12,1:36.392
21,14,Jonathan  PalmerPAL,Zakspeed,3,1:36.560
22,29,Huub RothengatterROT,Zakspeed,6,1:36.990
23,22,Allen BergBER,Osella Alfa Romeo,4,1:39.234
24,21,Piercarlo GhinzaniGHI,Osella Alfa Romeo,3,1:39.607
25,7,Riccardo PatresePAT,Brabham BMW,1,1:46.938
