Pos,No,Driver,Car,Lap,Time
1,5,Nigel MansellMAN,Williams Honda,65,1:27.176
2,2,Keke RosbergROS,McLaren TAG,61,1:27.991
3,19,Teo FabiFAB,Benetton BMW,49,1:28.235
4,25,Rene ArnouxARN,Ligier Renault,26,1:28.332
5,1,Alain ProstPRO,McLaren TAG,45,1:28.497
6,26,Jacques LaffiteLAF,Ligier Renault,35,1:28.504
7,12,Ayrton SennaSEN,Lotus Renault,45,1:28.801
8,6,Nelson PiquetPIQ,Williams Honda,39,1:29.182
9,20,Gerhard BergerBER,Benetton BMW,54,1:29.690
10,8,Elio de AngelisDEA,Brabham BMW,23,1:29.885
11,27,Michele AlboretoALB,Ferrari,5,1:30.201
12,28,Stefan JohanssonJOH,Ferrari,11,1:30.467
13,11,Johnny DumfriesDUM,Lotus Renault,31,1:30.962
14,3,Martin BrundleBRU,Tyrrell Renault,34,1:31.236
15,18,Thierry BoutsenBOU,Arrows BMW,38,1:31.457
16,16,Patrick TambayTAM,Lola Hart,31,1:31.512
17,17,Marc SurerSUR,Arrows BMW,11,1:32.230
18,4,Philippe StreiffSTR,Tyrrell Renault,14,1:32.240
19,7,Riccardo PatresePAT,Brabham BMW,7,1:33.212
20,21,Piercarlo GhinzaniGHI,Osella Alfa Romeo,8,1:34.027
21,22,Christian DannerDAN,Osella Alfa Romeo,4,1:35.273
22,23,Andrea de CesarisDEC,Minardi Motori Moderni,1,1:52.175
