Pos,No,Driver,Car,Lap,Time
1,6,Nelson PiquetPIQ,Williams Honda,82,1:20.787
2,1,Alain ProstPRO,McLaren TAG,69,1:20.979
3,5,Nigel MansellMAN,Williams Honda,58,1:21.194
4,2,Keke RosbergROS,McLaren TAG,62,1:21.900
5,28,Stefan JohanssonJOH,Ferrari,74,1:22.136
6,11,Johnny DumfriesDUM,Lotus Renault,69,1:22.464
7,4,Philippe StreiffSTR,Tyrrell Renault,63,1:22.681
8,3,Martin BrundleBRU,Tyrrell Renault,63,1:22.950
9,25,Rene ArnouxARN,Ligier Renault,68,1:22.955
10,7,Riccardo PatresePAT,Brabham BMW,55,1:23.095
11,8,Derek WarwickWAR,Brabham BMW,40,1:23.695
12,14,Jonathan  PalmerPAL,Zakspeed,68,1:23.866
13,12,Ayrton SennaSEN,Lotus Renault,6,1:24.149
14,16,Patrick TambayTAM,Lola Hart,42,1:24.182
15,15,Alan  JonesJON,Lola Hart,15,1:24.585
16,20,Gerhard BergerBER,Benetton BMW,29,1:24.807
17,18,Thierry BoutsenBOU,Arrows BMW,48,1:25.351
18,17,Christian DannerDAN,Arrows BMW,50,1:25.635
19,26,Philippe AlliotALL,Ligier Renault,78,1:25.798
20,19,Teo FabiFAB,Benetton BMW,47,1:25.895
21,29,Huub RothengatterROT,Zakspeed,29,1:26.479
22,23,Andrea de CesarisDEC,Minardi Motori Moderni,27,1:26.591
23,24,Alessandro NanniniNAN,Minardi Motori Moderni,9,1:27.821
24,22,Allen BergBER,Osella Alfa Romeo,26,1:33.172
25,21,Piercarlo GhinzaniGHI,Osella Alfa Romeo,2,1:34.172
