Pos,No,Driver,Car,Lap,Time
1,6,Nelson PiquetPIQ,Williams Honda,63,1:25.443
2,5,Nigel MansellMAN,Williams Honda,33,1:26.552
3,1,Alain ProstPRO,McLaren TAG,63,1:26.859
4,2,Keke RosbergROS,McLaren TAG,19,1:27.479
5,12,Ayrton SennaSEN,Lotus Renault,63,1:27.503
6,26,Jacques LaffiteLAF,Ligier Renault,60,1:27.742
7,25,Rene ArnouxARN,Ligier Renault,63,1:27.981
8,27,Michele AlboretoALB,Ferrari,37,1:28.408
9,28,Stefan JohanssonJOH,Ferrari,27,1:28.853
10,15,Alan  JonesJON,Lola Hart,58,1:29.366
11,3,Martin BrundleBRU,Tyrrell Renault,57,1:29.553
12,20,Gerhard BergerBER,Benetton BMW,34,1:30.361
13,23,Andrea de CesarisDEC,Minardi Motori Moderni,37,1:30.514
14,7,Riccardo PatresePAT,Brabham BMW,15,1:30.731
15,18,Thierry BoutsenBOU,Arrows BMW,28,1:30.975
16,8,Derek WarwickWAR,Brabham BMW,18,1:31.139
17,11,Johnny DumfriesDUM,Lotus Renault,6,1:31.623
18,4,Philippe StreiffSTR,Tyrrell Renault,55,1:32.209
19,19,Teo FabiFAB,Benetton BMW,11,1:32.317
20,24,Alessandro NanniniNAN,Minardi Motori Moderni,5,1:33.173
21,29,Huub RothengatterROT,Zakspeed,8,1:33.568
22,21,Piercarlo GhinzaniGHI,Osella Alfa Romeo,19,1:33.598
23,14,Jonathan  PalmerPAL,Zakspeed,7,1:33.764
24,22,Christian DannerDAN,Osella Alfa Romeo,4,1:37.444
