Pos,No,Driver,Car,Lap,Time
1,5,Nigel MansellMAN,Williams Honda,53,1:20.943
2,1,Alain ProstPRO,McLaren TAG,61,1:21.092
3,6,Nelson PiquetPIQ,Williams Honda,60,1:21.100
4,12,Ayrton SennaSEN,Lotus Renault,60,1:21.283
5,27,Michele AlboretoALB,Ferrari,58,1:22.073
6,2,Keke RosbergROS,McLaren TAG,36,1:22.242
7,28,Stefan JohanssonJOH,Ferrari,50,1:22.347
8,19,Teo FabiFAB,Benetton BMW,53,1:22.999
9,11,Johnny DumfriesDUM,Lotus Renault,49,1:23.737
10,20,Gerhard BergerBER,Benetton BMW,26,1:23.850
11,16,Patrick TambayTAM,Lola Hart,59,1:23.889
12,7,Riccardo PatresePAT,Brabham BMW,36,1:24.243
13,17,Christian DannerDAN,Arrows BMW,64,1:24.268
14,18,Thierry BoutsenBOU,Arrows BMW,52,1:24.350
15,25,Rene ArnouxARN,Ligier Renault,53,1:24.356
16,26,Philippe AlliotALL,Ligier Renault,38,1:24.516
17,14,Jonathan  PalmerPAL,Zakspeed,37,1:24.947
18,8,Derek WarwickWAR,Brabham BMW,18,1:25.113
19,15,Alan  JonesJON,Lola Hart,6,1:25.681
20,23,Andrea de CesarisDEC,Minardi Motori Moderni,28,1:26.034
21,4,Philippe StreiffSTR,Tyrrell Renault,27,1:26.242
22,3,Martin BrundleBRU,Tyrrell Renault,15,1:26.612
23,31,Ivan CapelliCAP,AGS Motori Moderni,6,1:27.861
24,24,Alessandro NanniniNAN,Minardi Motori Moderni,4,1:27.910
25,29,Huub RothengatterROT,Zakspeed,7,1:28.397
26,21,Piercarlo GhinzaniGHI,Osella Alfa Romeo,3,1:30.016
27,22,Allen BergBER,Osella Alfa Romeo,34,1:30.477
