Pos,No,Driver,Car,Lap,Time
1,20,Gerhard BergerBER,Benetton BMW,35,1:46.604
2,6,Nelson PiquetPIQ,Williams Honda,34,1:47.721
3,5,Nigel MansellMAN,Williams Honda,37,1:47.899
4,12,Ayrton SennaSEN,Lotus Renault,39,1:49.424
5,2,Keke RosbergROS,McLaren TAG,25,1:49.552
6,1,Alain ProstPRO,McLaren TAG,26,1:49.649
7,25,Rene ArnouxARN,Ligier Renault,27,1:50.374
8,28,Stefan JohanssonJOH,Ferrari,30,1:50.932
9,16,Patrick TambayTAM,Lola Hart,23,1:51.629
10,27,Michele AlboretoALB,Ferrari,5,1:52.570
11,15,Alan  JonesJON,Lola Hart,18,1:52.577
12,7,Riccardo PatresePAT,Brabham BMW,11,1:52.818
13,8,Derek WarwickWAR,Brabham BMW,30,1:52.955
14,3,Martin BrundleBRU,Tyrrell Renault,21,1:53.682
15,11,Johnny DumfriesDUM,Lotus Renault,7,1:53.756
16,4,Philippe StreiffSTR,Tyrrell Renault,7,1:54.025
17,26,Philippe AlliotALL,Ligier Renault,7,1:54.145
18,23,Andrea de CesarisDEC,Minardi Motori Moderni,17,1:54.826
19,17,Christian DannerDAN,Arrows BMW,28,1:54.975
20,14,Jonathan  PalmerPAL,Zakspeed,23,1:56.145
21,29,Huub RothengatterROT,Zakspeed,13,1:56.401
22,24,Alessandro NanniniNAN,Minardi Motori Moderni,3,1:56.721
23,18,Thierry BoutsenBOU,Arrows BMW,12,1:56.803
24,22,Allen BergBER,Osella Alfa Romeo,23,1:58.449
25,21,Piercarlo GhinzaniGHI,Osella Alfa Romeo,7,2:00.492
