Pos,No,Driver,Car,Time,Gap,Laps
1,10,David CoulthardCOU,McLaren Mercedes,1:20.738,,22
2,9,Mika HakkinenHAK,McLaren Mercedes,1:20.856,+0.118s,20
3,4,Heinz-Harald FrentzenFRE,Williams Renault,1:21.263,+0.525s,26
4,14,Olivier PanisPAN,Prost Mugen Honda,1:21.364,+0.626s,26
5,8,Gerhard BergerBER,Benetton Renault,1:21.525,+0.787s,21
6,3,Jacques VilleneuveVIL,Williams Renault,1:21.593,+0.855s,23
7,23,Jan MagnussenMAG,Stewart Ford,1:21.605,+0.867s,24
8,15,Shinji NakanoNAK,Prost Mugen Honda,1:21.671,+0.933s,28
9,1,Damon HillHIL,Arrows Yamaha,1:21.780,+1.042s,30
10,7,Jean AlesiALE,Benetton Renault,1:21.814,+1.076s,10
11,11,Ralf SchumacherRSC,Jordan Peugeot,1:21.881,+1.143s,28
12,16,Johnny HerbertHER,Sauber Petronas,1:22.065,+1.327s,28
13,22,Rubens BarrichelloBAR,Stewart Ford,1:22.117,+1.379s,21
14,5,Michael SchumacherMSC,Ferrari,1:22.120,+1.382s,29
15,17,Norberto FontanaFON,Sauber Petronas,1:22.404,+1.666s,30
16,12,Giancarlo FisichellaFIS,Jordan Peugeot,1:22.438,+1.700s,30
17,20,Ukyo KatayamaKAT,Minardi Hart,1:22.512,+1.774s,19
18,2,Pedro DinizDIN,Arrows Yamaha,1:22.750,+2.012s,27
19,6,Eddie IrvineIRV,Ferrari,1:22.820,+2.082s,29
20,21,Tarso MarquesMAR,Minardi Hart,1:23.369,+2.631s,28
21,18,Jos VerstappenVER,Tyrrell Ford,1:23.742,+3.004s,27
22,19,Mika SaloSAL,Tyrrell Ford,1:24.429,+3.691s,27
