Pos,No,Driver,Car,Time,Gap,Laps
1,4,Heinz-Harald FrentzenFRE,Williams Renault,1:24.874,,27
2,3,Jacques VilleneuveVIL,Williams Renault,1:25.704,+0.830s,30
3,5,Michael SchumacherMSC,Ferrari,1:26.359,+1.485s,30
4,11,Ralf SchumacherRSC,Jordan Peugeot,1:26.455,+1.581s,29
5,16,Johnny HerbertHER,Sauber Petronas,1:26.494,+1.620s,28
6,8,Gerhard BergerBER,Benetton Renault,1:26.703,+1.829s,25
7,14,Olivier PanisPAN,Prost Mugen Honda,1:26.772,+1.898s,30
8,12,Giancarlo FisichellaFIS,Jordan Peugeot,1:26.789,+1.915s,29
9,7,Jean AlesiALE,Benetton Renault,1:26.835,+1.961s,22
10,22,Rubens BarrichelloBAR,Stewart Ford,1:27.229,+2.355s,23
11,18,Jos VerstappenVER,Tyrrell Ford,1:27.423,+2.549s,27
12,6,Eddie IrvineIRV,Ferrari,1:27.468,+2.594s,25
13,10,David CoulthardCOU,McLaren Mercedes,1:27.496,+2.622s,30
14,19,Mika SaloSAL,Tyrrell Ford,1:27.768,+2.894s,28
15,15,Shinji NakanoNAK,Prost Mugen Honda,1:27.885,+3.011s,27
16,9,Mika HakkinenHAK,McLaren Mercedes,1:28.086,+3.212s,25
17,20,Ukyo KatayamaKAT,Minardi Hart,1:28.600,+3.726s,29
18,1,Damon HillHIL,Arrows Yamaha,1:28.654,+3.780s,21
19,23,Jan MagnussenMAG,Stewart Ford,1:28.710,+3.836s,10
20,2,Pedro DinizDIN,Arrows Yamaha,1:28.853,+3.979s,16
21,17,Nicola LariniLAR,Sauber Petronas,1:29.118,+4.244s,11
22,21,Jarno TrulliTRU,Minardi Hart,1:29.140,+4.266s,29
