Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Sebastian VettelVET,Red Bull Racing Renault,58,1:29:30.259,25
2,3,Lewis HamiltonHAM,McLaren Mercedes,58,+22.297s,18
3,10,Vitaly PetrovPET,Renault,58,+30.560s,15
4,5,Fernando AlonsoALO,Ferrari,58,+31.772s,12
5,2,Mark WebberWEB,Red Bull Racing Renault,58,+38.171s,10
6,4,Jenson ButtonBUT,McLaren Mercedes,58,+54.304s,8
DQ,17,Sergio PerezPER,Sauber Ferrari,58,+65.845s,0
DQ,16,Kamui KobayashiKOB,Sauber Ferrari,58,+76.872s,0
7,6,Felipe MassaMAS,Ferrari,58,+85.186s,6
8,18,Sebastien BuemiBUE,STR Ferrari,57,+1 lap,4
9,14,Adrian SutilSUT,Force India Mercedes,57,+1 lap,2
10,15,Paul di RestaDIR,Force India Mercedes,57,+1 lap,1
11,19,Jaime AlguersuariALG,STR Ferrari,57,+1 lap,0
12,9,Nick HeidfeldHEI,Renault,57,+1 lap,0
13,21,Jarno TrulliTRU,Lotus Renault,56,+2 laps,0
14,25,Jerome d'AmbrosioDAM,Virgin Cosworth,54,+4 laps,0
NC,24,Timo GlockGLO,Virgin Cosworth,49,+9 laps,0
NC,11,Rubens BarrichelloBAR,Williams Cosworth,48,DNF,0
NC,8,Nico RosbergROS,Mercedes,22,DNF,0
NC,20,Heikki KovalainenKOV,Lotus Renault,19,DNF,0
NC,7,Michael SchumacherMSC,Mercedes,19,DNF,0
NC,12,Pastor MaldonadoMAL,Williams Cosworth,9,DNF,0
