Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Sebastian VettelVET,Red Bull Racing Renault,55,1:38:01.994,25
2,3,Lewis HamiltonHAM,McLaren Mercedes,55,+12.019s,18
3,2,Mark WebberWEB,Red Bull Racing Renault,55,+12.477s,15
4,4,Jenson ButtonBUT,McLaren Mercedes,55,+14.694s,12
5,5,Fernando AlonsoALO,Ferrari,55,+15.689s,10
6,6,Felipe MassaMAS,Ferrari,55,+25.133s,8
7,19,Jaime AlguersuariALG,STR Ferrari,55,+49.538s,6
8,8,Nico RosbergROS,Mercedes,55,+54.053s,4
9,18,Sebastien BuemiBUE,STR Ferrari,55,+62.762s,2
10,15,Paul di RestaDIR,Force India Mercedes,55,+68.602s,1
11,14,Adrian SutilSUT,Force India Mercedes,55,+71.229s,0
12,11,Rubens BarrichelloBAR,Williams Cosworth,55,+93.068s,0
13,9,Bruno SennaSEN,Renault,54,+1 lap,0
14,20,Heikki KovalainenKOV,Lotus Renault,54,+1 lap,0
15,16,Kamui KobayashiKOB,Sauber Ferrari,54,+1 lap,0
16,17,Sergio PerezPER,Sauber Ferrari,54,+1 lap,0
17,21,Jarno TrulliTRU,Lotus Renault,54,+1 lap,0
18,24,Timo GlockGLO,Virgin Cosworth,54,+1 lap,0
19,22,Daniel RicciardoRIC,HRT Cosworth,54,+1 lap,0
20,25,Jerome d'AmbrosioDAM,Virgin Cosworth,54,+1 lap,0
21,23,Vitantonio LiuzziLIU,HRT Cosworth,52,+3 laps,0
NC,12,Pastor MaldonadoMAL,Williams Cosworth,30,DNF,0
NC,10,Vitaly PetrovPET,Renault,16,DNF,0
NC,7,Michael SchumacherMSC,Mercedes,15,DNF,0
