Pos,No,Driver,Car,Lap,Time
1,5,Michael SchumacherMSC,Benetton Ford,18,1:25.155
2,7,Mika HakkinenHAK,McLaren Peugeot,29,1:25.872
3,0,Damon HillHIL,Williams Renault,17,1:25.874
4,8,Martin BrundleBRU,McLaren Peugeot,33,1:26.233
5,6,Jyrki JarvilehtoJAR,Benetton Ford,38,1:26.346
6,15,Eddie IrvineIRV,Jordan Hart,40,1:26.580
7,3,Ukyo KatayamaKAT,Tyrrell Yamaha,15,1:26.658
8,14,Rubens BarrichelloBAR,Jordan Hart,31,1:26.863
9,2,David CoulthardCOU,Williams Renault,10,1:26.983
10,4,Mark BlundellBLU,Tyrrell Yamaha,14,1:27.468
11,20,Erik ComasCOM,Larrousse Ford,14,1:27.533
12,27,Jean AlesiALE,Ferrari,9,1:27.558
13,28,Gerhard BergerBER,Ferrari,11,1:27.614
14,9,Christian FittipaldiFIT,Footwork Ford,27,1:28.002
15,10,Gianni MorbidelliMOR,Footwork Ford,23,1:28.032
16,30,Heinz-Harald FrentzenFRE,Sauber Mercedes,17,1:28.279
17,23,Pierluigi MartiniMAR,Minardi Ford,58,1:28.610
18,12,Johnny HerbertHER,Lotus Mugen Honda,38,1:28.901
19,26,Olivier PanisPAN,Ligier Renault,39,1:29.118
20,25,Eric BernardBER,Ligier Renault,34,1:29.233
21,24,Michele AlboretoALB,Minardi Ford,4,1:29.880
22,11,Alessandro ZanardiZAN,Lotus Mugen Honda,9,1:30.493
23,31,David BrabhamBRA,Simtek Ford,13,1:30.558
24,34,Bertrand GachotGAC,Pacific Ilmor,28,1:31.557
25,33,Paul BelmondoBEL,Pacific Ilmor,2,1:35.061
