Pos,No,Driver,Car,Lap,Time
1,5,Michael SchumacherMSC,Benetton Ford,31,1:28.927
2,0,Damon HillHIL,Williams Renault,56,1:28.962
3,28,Gerhard BergerBER,Ferrari,58,1:29.142
4,27,Jean AlesiALE,Ferrari,58,1:29.260
5,4,Mark BlundellBLU,Tyrrell Yamaha,54,1:29.369
6,7,Mika HakkinenHAK,McLaren Peugeot,34,1:29.512
7,10,Gianni MorbidelliMOR,Footwork Ford,39,1:29.698
8,14,Rubens BarrichelloBAR,Jordan Hart,65,1:29.757
9,2,David CoulthardCOU,Williams Renault,55,1:29.966
10,3,Ukyo KatayamaKAT,Tyrrell Yamaha,31,1:30.079
11,20,Erik ComasCOM,Larrousse Ford,11,1:30.194
12,6,Jyrki JarvilehtoJAR,Benetton Ford,33,1:30.374
13,15,Eddie IrvineIRV,Jordan Hart,21,1:30.626
14,9,Christian FittipaldiFIT,Footwork Ford,58,1:30.700
15,30,Heinz-Harald FrentzenFRE,Sauber Mercedes,4,1:30.796
16,12,Johnny HerbertHER,Lotus Mugen Honda,14,1:30.865
17,26,Olivier PanisPAN,Ligier Renault,65,1:31.109
18,29,Andrea de CesarisDEC,Sauber Mercedes,19,1:31.187
19,24,Michele AlboretoALB,Minardi Ford,66,1:31.221
20,19,Olivier BerettaBER,Larrousse Ford,21,1:31.451
21,23,Pierluigi MartiniMAR,Minardi Ford,66,1:31.587
22,11,Alessandro ZanardiZAN,Lotus Mugen Honda,6,1:31.588
23,25,Eric BernardBER,Ligier Renault,6,1:31.703
24,8,Martin BrundleBRU,McLaren Peugeot,3,1:31.759
25,31,David BrabhamBRA,Simtek Ford,6,1:31.840
26,34,Bertrand GachotGAC,Pacific Ilmor,6,1:32.041
