Pos,No,Driver,Car,Lap,Time
1,0,Damon HillHIL,Williams Renault,24,1:56.597
2,5,Michael SchumacherMSC,Benetton Ford,44,1:56.679
3,2,Nigel MansellMAN,Williams Renault,25,1:57.912
4,15,Eddie IrvineIRV,Jordan Hart,31,1:58.095
5,27,Jean AlesiALE,Ferrari,24,1:58.438
6,30,Heinz-Harald FrentzenFRE,Sauber Mercedes,19,1:59.612
7,7,Mika HakkinenHAK,McLaren Peugeot,24,1:59.831
8,4,Mark BlundellBLU,Tyrrell Yamaha,20,2:00.437
9,9,Christian FittipaldiFIT,Footwork Ford,26,2:00.456
10,20,Erik ComasCOM,Larrousse Ford,40,2:01.088
11,11,Mika SaloSAL,Lotus Mugen Honda,43,2:01.811
12,26,Olivier PanisPAN,Ligier Renault,39,2:02.413
13,31,David BrabhamBRA,Simtek Ford,41,2:03.105
14,12,Alessandro ZanardiZAN,Lotus Mugen Honda,26,2:04.371
15,8,Martin BrundleBRU,McLaren Peugeot,13,2:04.733
16,10,Gianni MorbidelliMOR,Footwork Ford,13,2:06.206
17,14,Rubens BarrichelloBAR,Jordan Hart,13,2:07.632
18,28,Gerhard BergerBER,Ferrari,2,2:11.960
19,6,Johnny HerbertHER,Benetton Ford,2,2:12.194
20,3,Ukyo KatayamaKAT,Tyrrell Yamaha,2,2:16.655
21,23,Pierluigi MartiniMAR,Minardi Ford,2,2:19.252
22,25,Franck LagorceLAG,Larrousse Ford,2,2:20.381
23,24,Michele AlboretoALB,Minardi Ford,2,2:21.689
24,32,Taki InoueINO,Simtek Ford,2,2:21.978
