Pos,No,Driver,Car,Lap,Time
1,0,Damon HillHIL,Williams Renault,41,1:57.117
2,5,Michael SchumacherMSC,Benetton Ford,37,1:57.198
3,2,David CoulthardCOU,Williams Renault,36,1:57.793
4,8,Martin BrundleBRU,McLaren Peugeot,24,1:58.839
5,6,Jos VerstappenVER,Benetton Ford,24,1:59.001
6,4,Mark BlundellBLU,Tyrrell Yamaha,38,1:59.031
7,7,Mika HakkinenHAK,McLaren Peugeot,10,1:59.359
8,26,Olivier PanisPAN,Ligier Renault,30,1:59.502
9,14,Rubens BarrichelloBAR,Jordan Hart,15,1:59.527
10,30,Heinz-Harald FrentzenFRE,Sauber Mercedes,10,2:00.068
11,15,Eddie IrvineIRV,Jordan Hart,29,2:00.353
12,28,Gerhard BergerBER,Ferrari,11,2:00.372
13,3,Ukyo KatayamaKAT,Tyrrell Yamaha,12,2:00.531
14,12,Johnny HerbertHER,Lotus Mugen Honda,17,2:00.605
15,24,Michele AlboretoALB,Minardi Ford,33,2:01.209
16,10,Gianni MorbidelliMOR,Footwork Ford,39,2:01.295
17,9,Christian FittipaldiFIT,Footwork Ford,27,2:01.653
18,23,Pierluigi MartiniMAR,Minardi Ford,24,2:02.298
19,27,Jean AlesiALE,Ferrari,2,2:02.587
20,25,Eric BernardBER,Ligier Renault,31,2:02.665
21,29,Andrea de CesarisDEC,Sauber Mercedes,19,2:03.501
22,32,Jean-Marc GounonGOU,Simtek Ford,24,2:04.732
23,31,David BrabhamBRA,Simtek Ford,10,2:06.145
24,19,Philippe AlliotALL,Larrousse Ford,10,2:06.157
25,11,Philippe AdamsADA,Lotus Mugen Honda,15,2:06.759
26,20,Erik ComasCOM,Larrousse Ford,3,2:07.153
