Pos,No,Driver,Car,Lap,Time
1,5,Michael SchumacherMSC,Benetton Ford,35,1:21.076
2,8,Martin BrundleBRU,McLaren Peugeot,29,1:21.998
3,28,Gerhard BergerBER,Ferrari,16,1:22.248
4,27,Jean AlesiALE,Ferrari,64,1:23.420
5,6,Jyrki JarvilehtoJAR,Benetton Ford,75,1:23.737
6,9,Christian FittipaldiFIT,Footwork Ford,14,1:23.765
7,4,Mark BlundellBLU,Tyrrell Yamaha,37,1:23.840
8,15,Andrea de CesarisDEC,Jordan Hart,70,1:23.978
9,24,Michele AlboretoALB,Minardi Ford,26,1:23.996
10,20,Erik ComasCOM,Larrousse Ford,46,1:24.080
11,3,Ukyo KatayamaKAT,Tyrrell Yamaha,9,1:24.498
12,19,Olivier BerettaBER,Larrousse Ford,24,1:25.169
13,14,Rubens BarrichelloBAR,Jordan Hart,16,1:25.240
14,12,Johnny HerbertHER,Lotus Mugen Honda,43,1:25.479
15,26,Olivier PanisPAN,Ligier Renault,67,1:25.563
16,31,David BrabhamBRA,Simtek Ford,18,1:25.844
17,25,Eric BernardBER,Ligier Renault,14,1:25.904
18,11,Pedro LamyLAM,Lotus Mugen Honda,42,1:26.339
19,34,Bertrand GachotGAC,Pacific Ilmor,21,1:27.711
20,33,Paul BelmondoBEL,Pacific Ilmor,33,1:30.048
