Pos,No,Driver,Car,Lap,Time
1,5,Michael SchumacherMSC,Benetton Ford,17,1:25.040
2,14,Rubens BarrichelloBAR,Jordan Hart,62,1:25.529
3,0,Damon HillHIL,Williams Renault,10,1:25.532
4,15,Eddie IrvineIRV,Jordan Hart,52,1:26.259
5,27,Jean AlesiALE,Ferrari,67,1:26.410
6,2,Nigel MansellMAN,Williams Renault,36,1:26.448
7,3,Ukyo KatayamaKAT,Tyrrell Yamaha,59,1:26.511
8,26,Olivier PanisPAN,Ligier Renault,59,1:26.613
9,28,Gerhard BergerBER,Ferrari,40,1:26.629
10,10,Gianni MorbidelliMOR,Footwork Ford,54,1:26.651
11,7,Mika HakkinenHAK,McLaren Peugeot,60,1:26.656
12,30,Heinz-Harald FrentzenFRE,Sauber Mercedes,56,1:26.947
13,9,Christian FittipaldiFIT,Footwork Ford,25,1:27.030
14,25,Johnny HerbertHER,Ligier Renault,63,1:27.040
15,4,Mark BlundellBLU,Tyrrell Yamaha,42,1:27.392
16,29,Andrea de CesarisDEC,Sauber Mercedes,17,1:27.635
17,20,Erik ComasCOM,Larrousse Ford,17,1:27.755
18,24,Michele AlboretoALB,Minardi Ford,13,1:27.952
19,6,Jos VerstappenVER,Benetton Ford,15,1:28.249
20,8,Martin BrundleBRU,McLaren Peugeot,7,1:28.355
21,12,Alessandro ZanardiZAN,Lotus Mugen Honda,67,1:28.467
22,23,Pierluigi MartiniMAR,Minardi Ford,44,1:28.551
23,11,Eric BernardBER,Lotus Mugen Honda,6,1:29.147
24,31,David BrabhamBRA,Simtek Ford,21,1:29.307
25,19,Hideki NodaNOD,Jordan Hart,4,1:30.525
26,32,Domenico SchiattarellaSCH,Simtek Ford,51,1:30.912
