Pos,No,Driver,Car,Lap,Time
1,5,Michael SchumacherMSC,Benetton Ford,10,1:14.023
2,0,Damon HillHIL,Williams Renault,45,1:14.348
3,8,Martin BrundleBRU,McLaren Peugeot,54,1:14.684
4,7,Mika HakkinenHAK,McLaren Peugeot,8,1:14.697
5,6,Jos VerstappenVER,Benetton Ford,49,1:15.257
6,28,Gerhard BergerBER,Ferrari,24,1:15.931
7,24,Michele AlboretoALB,Minardi Ford,44,1:15.994
8,14,Rubens BarrichelloBAR,Jordan Hart,64,1:16.061
9,20,Erik ComasCOM,Larrousse Ford,3,1:16.120
10,30,Heinz-Harald FrentzenFRE,Sauber Mercedes,51,1:16.239
11,10,Gianni MorbidelliMOR,Footwork Ford,32,1:16.304
12,3,Ukyo KatayamaKAT,Tyrrell Yamaha,40,1:16.482
13,23,Pierluigi MartiniMAR,Minardi Ford,56,1:16.639
14,29,Karl WendlingerWEN,Sauber Mercedes,27,1:16.651
15,26,Olivier PanisPAN,Ligier Renault,2,1:16.795
16,15,Aguri SuzukiSUZ,Jordan Hart,32,1:17.015
17,25,Eric BernardBER,Ligier Renault,45,1:17.390
18,12,Johnny HerbertHER,Lotus Mugen Honda,29,1:17.775
19,19,Olivier BerettaBER,Larrousse Ford,9,1:17.880
20,11,Pedro LamyLAM,Lotus Mugen Honda,12,1:18.527
21,32,Roland RatzenbergerRAT,Simtek Ford,9,1:19.248
22,31,David BrabhamBRA,Simtek Ford,2,1:19.401
