Pos,No,Driver,Car,Lap,Time
1,0,Damon HillHIL,Williams Renault,24,1:25.930
2,27,Jean AlesiALE,Ferrari,8,1:26.279
3,28,Gerhard BergerBER,Ferrari,17,1:26.541
4,2,David CoulthardCOU,Williams Renault,23,1:26.607
5,26,Olivier PanisPAN,Ligier Renault,47,1:26.630
6,4,Mark BlundellBLU,Tyrrell Yamaha,36,1:26.663
7,3,Ukyo KatayamaKAT,Tyrrell Yamaha,31,1:26.702
8,7,Mika HakkinenHAK,McLaren Peugeot,46,1:27.432
9,14,Rubens BarrichelloBAR,Jordan Hart,21,1:27.449
10,25,Eric BernardBER,Ligier Renault,9,1:27.488
11,30,Heinz-Harald FrentzenFRE,Sauber Mercedes,18,1:27.786
12,5,Jyrki JarvilehtoJAR,Benetton Ford,13,1:28.072
13,9,Christian FittipaldiFIT,Footwork Ford,27,1:28.133
14,8,Martin BrundleBRU,McLaren Peugeot,49,1:28.185
15,15,Eddie IrvineIRV,Jordan Hart,19,1:28.312
16,29,Andrea de CesarisDEC,Sauber Mercedes,20,1:28.411
17,23,Pierluigi MartiniMAR,Minardi Ford,19,1:28.473
18,20,Erik ComasCOM,Larrousse Ford,24,1:28.571
19,12,Johnny HerbertHER,Lotus Mugen Honda,9,1:28.871
20,24,Michele AlboretoALB,Minardi Ford,12,1:28.956
21,19,Yannick DalmasDAL,Larrousse Ford,10,1:29.485
22,31,David BrabhamBRA,Simtek Ford,12,1:30.036
23,32,Jean-Marc GounonGOU,Simtek Ford,17,1:30.479
